Ticker,Company,Sector,Industry,Country,Market Cap,Price
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,32159999999.999996,113.23
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3164710000000.0,213.25
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,346780000000.0,196.3
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,81750000000.0,130.5
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,227880000000.0,130.93
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,33640000000.0,89.76
ACN,Accenture plc,Technology,Information Technology Services,Ireland,154180000000.0,247.54
ADBE,Adobe Inc,Technology,Software - Application,USA,146610000000.0,345.62
ADI,Analog Devices Inc,Technology,Semiconductors,USA,109520000000.0,220.69
ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,27260000000.0,56.73
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,122440000000.0,301.64
ADSK,Autodesk Inc,Technology,Software - Application,USA,65290000000.00001,305.18
AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,28110000000.0,101.62
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,60690000000.0,113.49
AES,AES Corp,Utilities,Utilities - Diversified,USA,9140000000.0,12.84
AFL,Aflac Inc,Financial,Insurance - Life,USA,55310000000.0,102.31
AIG,American International Group Inc,Financial,Insurance - Diversified,USA,45560000000.0,79.06
AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA,10650000000.0,210.04
AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers,USA,73400000000.0,286.26
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,10890000000.0,74.48
ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,7920000000.0,67.3
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,9920000000.0,136.9
ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,55080000000.0,209.01
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,14120000000.0,164.49
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,142960000000.0,178.14
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,Switzerland,21690000000.0,9.41
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,264480000000.00003,163.12
AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,42840000000.0,185.47
AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,153070000000.0,284.67
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,48410000000.0,508.43
AMT,American Tower Corp,Real Estate,REIT - Specialty,USA,97820000000.0,208.9
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2370920000000.0,222.31
ANET,Arista Networks Inc,Technology,Computer Hardware,USA,174300000000.0,138.78
AON,Aon plc,Financial,Insurance Brokers,Ireland,78420000000.0,363.68
AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,9890000000.0,70.56
APA,APA Corporation,Energy,Oil & Gas E&P,USA,6520000000.0,18.06
APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,64330000000.0,289.05
APH,Amphenol Corp,Technology,Electronic Components,USA,133690000000.0,109.5
APO,Apollo Global Management Inc,Financial,Asset Management,USA,83360000000.0,145.87
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,14180000000.0,65.12
ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,12770000000.0,73.85
ATO,Atmos Energy Corp,Utilities,Utilities - Regulated Gas,USA,24940000000.0,157.02
AVB,Avalonbay Communities Inc,Real Estate,REIT - Residential,USA,26550000000.0,186.5
AVGO,Broadcom Inc,Technology,Semiconductors,USA,1418900000000.0,301.67
AVY,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers,USA,13070000000.0,167.62
AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water,USA,27690000000.0,141.91
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,USA,67239999999.99999,863.65
AXP,American Express Co,Financial,Credit Services,USA,205660000000.0,295.54
AZO,Autozone Inc,Consumer Cyclical,Auto Parts,USA,68129999999.99999,4072.8
BA,Boeing Co,Industrials,Aerospace & Defense,USA,170170000000.0,225.04
BAC,Bank Of America Corp,Financial,Banks - Diversified,USA,336420000000.0,45.42
BALL,Ball Corp,Consumer Cyclical,Packaging & Containers,USA,14580000000.0,52.55
