,Date,Title,Link,Source
0,2025-01-07 16:50:00,AI Startup Anthropic Raising Funds Valuing It at $60 Billion,https://finance.yahoo.com/m/7b30d9fa-c813-3c28-b85b-8a77f59a8e02/ai-startup-anthropic-raising.html,The Wall Street Journal
1,2025-01-07 16:04:00,Dont Punish Google for Being Good at What It Does,https://finance.yahoo.com/m/74d4d42f-09d9-3978-8f5c-39c7b0d579a0/don%E2%80%99t-punish-google-for-being.html,Barrons.com
2,2025-01-07 14:37:00,Uber and Lyft Adapt Robotaxi Strategy to Compete in Tesla and Waymo's Space,https://finance.yahoo.com/news/uber-lyft-adapt-robotaxi-strategy-193708729.html,Benzinga
3,2025-01-07 13:21:00,'Complacency' could be the biggest risk to investors in 2025,https://finance.yahoo.com/video/complacency-could-biggest-risk-investors-182107538.html,Yahoo Finance Video
4,2025-01-07 13:05:00,Tech's turn towards Trump puts pressure on Google,https://www.youtube.com/watch?v=eJ4E4gl0qls,CNBC TV
5,2025-01-07 11:40:00,Google unveils an AI-powered TV that summarizes the news for you at CES 2025,https://finance.yahoo.com/m/6b1da359-9d21-3fc1-9168-27b86c48f0e2/google-unveils-an-ai-powered.html,TechCrunch
6,2025-01-07 11:08:00,Google's anti-aging company just released 'disappointing' drug trial results,https://qz.com/google-calico-als-drug-trial-1851734070,Quartz
7,2025-01-07 10:02:00,"McDonald's Launches McValue Program, Slate of New Promotions",https://www.investopedia.com/mcdonalds-value-program-launch-8770295,Investopedia
8,2025-01-07 09:45:00,Meet the 5 Generative AI Stocks on the Cutting Edge of a $1.3 Trillion Opportunity by 2032,https://finance.yahoo.com/m/552399cb-b819-3f20-89f2-c2255f1f5e0e/meet-the-5-generative-ai.html,Motley Fool
9,2025-01-07 09:00:00,Here is What to Know Beyond Why Alphabet Inc. (GOOGL) is a Trending Stock,https://finance.yahoo.com/news/know-beyond-why-alphabet-inc-140015597.html,Zacks
10,2025-01-07 08:34:00,"Apple Stock Downgraded To Sell On Google, China, Consumer AI Demand",https://finance.yahoo.com/m/45a7d2a2-67c9-3804-964d-7ce9fc1b8a61/apple-stock-downgraded-to.html,Investor's Business Daily
11,2025-01-07 07:47:00,Waymo passenger nearly misses his flight after car drives in circles,https://finance.yahoo.com/m/83df8bbb-265f-39a6-ad51-199c298403b6/waymo-passenger-nearly-misses.html,CNN Business
12,2025-01-07 07:15:00,Here Are My Top 5 Nasdaq Stocks to Buy in 2025,https://finance.yahoo.com/m/8be1924a-03df-3322-b890-57017422a5ab/here-are-my-top-5-nasdaq.html,Motley Fool
13,2025-01-07 06:40:00,Alphabets Google TV to integrate Gemini AI,https://finance.yahoo.com/m/a8a61a89-c257-39c3-a688-ff17053f2cac/alphabet%E2%80%99s-google-tv-to.html,Verdict
14,2025-01-07 06:30:00,Chemours Appoints Google Executive Joseph Kava to its Board of Directors,https://www.businesswire.com/news/home/20250107731086/en/,Business Wire
15,2025-01-07 04:56:00,"Is Uber Technologies, Inc. (UBER) Hottest Mega-Cap Stock of 2025?",https://finance.yahoo.com/news/uber-technologies-inc-uber-hottest-095647906.html,Insider Monkey
16,2025-01-07 04:30:00,A Once-in-a-Decade Investment Opportunity: My Pick for the Best AI Stock to Buy in 2025,https://finance.yahoo.com/m/a9b3d1ee-94f8-3f64-98ed-2766a0cbe3c3/a-once-in-a-decade-investment.html,Motley Fool
17,2025-01-06 19:52:00,Why Alphabet Stock Gained 12% in January,https://finance.yahoo.com/m/449f229f-863c-33eb-a3bd-e98d36166e04/why-alphabet-stock-gained-12%25.html,Motley Fool
18,2025-01-06 18:28:00,Google is forming a new team to build AI that can simulate the physical world,https://finance.yahoo.com/m/5ac59590-72b5-3832-9a7f-ce80f3cfe8a3/google-is-forming-a-new-team.html,TechCrunch
19,2025-01-06 17:40:00,"Google's Veo 2 Is a Litmus Test, Blackmagic Debuts Camera for Vision Pro, Apple Sports App Update",https://www.aboveavalon.com/notes/2025/1/6/googles-veo-2-is-a-litmus-test-blackmagic-debuts-camera-for-vision-pro-apple-sports-app-update,Above Avalon
20,2025-01-06 17:34:00,Thinking Through Headset / AR Glasses Competition and Landscape,https://www.aboveavalon.com/notes/2025/1/6/thinking-through-headset-ar-glasses-competition-andnbsplandscape,Above Avalon
21,2025-01-06 17:00:00,Samsung CEO Touts AI Fridges and Washers After Year to Forget,https://finance.yahoo.com/news/samsung-ceo-touts-ai-fridges-220000900.html,Bloomberg
22,2025-01-06 16:52:00,"Google should be forced to bargain with contractor's union, US labor agency says",https://finance.yahoo.com/news/google-forced-bargain-contractors-union-215216074.html,Reuters
23,2025-01-06 16:05:00,Why Alphabet Rallied Today,https://finance.yahoo.com/m/01159874-56b4-3abb-b00c-e6ecbb08e818/why-alphabet-rallied-today.html,Motley Fool
24,2025-01-06 14:20:00,"Uber, Lyft Stocks Are Buys for 25, Analysts Say. Dont Worry About Tesla and Alphabet.",https://finance.yahoo.com/m/5f8ef37b-8bcb-3042-a3c6-4d16feabc80a/uber%2C-lyft-stocks-are-buys.html,Barrons.com
25,2025-01-06 14:07:00,Viral videos and trusting self-driving tech,https://www.youtube.com/watch?v=RHDWQQDiZEY,CNBC TV
26,2025-01-06 14:03:00,Analyst on Alphabet (GOOG): Potential Overhangs Are Opportunities to Buy The Stock,https://finance.yahoo.com/news/analyst-alphabet-goog-potential-overhangs-190326946.html,Insider Monkey
27,2025-01-06 13:54:00,"AMD and Nvidia Overtake Intel in Key Markets, Challenging Its Leadership",https://finance.yahoo.com/news/amd-nvidia-overtake-intel-key-185420699.html,Benzinga
28,2025-01-06 13:16:00,Alphabet Stock Gains. Why This Analyst Is Upbeat About Google.,https://finance.yahoo.com/m/5d9d229e-ceab-3e49-8368-6f8a8ed81524/alphabet-stock-gains.-why.html,Barrons.com
29,2025-01-06 11:50:00,How the AI trade is set to grow in 2025,https://finance.yahoo.com/video/ai-trade-set-grow-2025-165058235.html,Yahoo Finance Video
30,2025-01-06 11:37:00,"TikTok Ban Thrusts Apple, Google Into US-China Geopolitical Fray",https://finance.yahoo.com/m/7493e9cd-73c4-379b-b872-dcbaeb40b7ed/tiktok-ban-thrusts-apple%2C.html,Bloomberg
31,2025-01-06 09:00:00,Want to Buy a Quantum Computing Stock in 2025? You Might Consider This Quantum Computing ETF.,https://finance.yahoo.com/m/fe8c44ab-2262-3cf6-8b41-d13a31e6ba51/want-to-buy-a-quantum.html,Motley Fool
32,2025-01-06 08:45:00,"The Best Stocks to Invest $1,000 In Right Now",https://finance.yahoo.com/m/e7f30b54-88b3-33cb-ba88-f637b33af0ba/the-best-stocks-to-invest.html,Motley Fool
33,2025-01-06 08:30:00,Yahoo co-founder Jerry Yang on AI: The wave is coming,https://finance.yahoo.com/news/yahoo-co-founder-jerry-yang-on-ai-the-wave-is-coming-133019251.html,Yahoo Finance
34,2025-01-06 08:15:00,1 Nvidia-Backed Artificial Intelligence (AI) Stock to Buy Hand Over Fist in 2025 (Hint: It's Not SoundHound AI),https://finance.yahoo.com/m/339247e8-2a75-34f5-b60d-434c1a71a85a/1-nvidia-backed-artificial.html,Motley Fool
35,2025-01-06 07:41:00,Is Alphabet Inc. (NASDAQ:GOOGL) Among Israel Englanders Top Stock Picks Heading Into 2025?,https://finance.yahoo.com/news/alphabet-inc-nasdaq-googl-among-124121272.html,Insider Monkey
36,2025-01-06 06:01:00,Invest with Confidence: Intrinsic Value Unveiled of Alphabet Inc,https://finance.yahoo.com/news/invest-confidence-intrinsic-value-unveiled-110137991.html,GuruFocus.com
37,2025-01-06 04:51:00,2 Unstoppable Artificial Intelligence (AI) Stocks to Buy Hand Over Fist in 2025 and 1 to Avoid,https://finance.yahoo.com/m/3aac488f-60f2-3451-85f8-efa968054cf2/2-unstoppable-artificial.html,Motley Fool
38,2025-01-06 00:16:00,How Uber and Lyft Are Gearing Up for the Robotaxi Revolution,https://finance.yahoo.com/m/4e5db5bf-8b96-3f15-826d-72daddb3061b/how-uber-and-lyft-are-gearing.html,The Wall Street Journal
39,2025-01-05 21:14:00,Morningstar | A Weekly Summary of Stock Ideas and Developments in the Companies We Cover,https://finance.yahoo.com/m/9250f018-9001-34c3-86a6-5c0fbb219d41/morningstar-%7C-a-weekly.html,Morningstar Research
40,2025-01-05 12:45:00,Los Angeles man is trapped in circling Waymo on way to airport: 'Is somebody playing a joke?',https://finance.yahoo.com/m/dd6ed76c-6945-3c47-9dc9-1a7ce3781291/los-angeles-man-is-trapped-in.html,LA Times
41,2025-01-05 12:35:00,"Elon Musk Nearly Sold Struggling Tesla To Google For $6 Billion  But When He 'No Longer Needed A Savior,' The Deal Was Called Off",https://finance.yahoo.com/news/elon-musk-nearly-sold-struggling-173515772.html,Benzinga
