Ticker,Company,Sector,Industry,Country,Price,Market Cap (billions)
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,141.95,40.54
AAL,American Airlines Group Inc,Industrials,Airlines,USA,17.6,11.57
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,123.4,10.03
AAPL,Apple Inc,Technology,Consumer Electronics,USA,234.4,3543.15
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,176.74,312.32
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,128.85,81.69
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,113.19,196.32
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,20.66,11.97
ACM,AECOM,Industrials,Engineering & Construction,USA,108.47,14.39
ADBE,Adobe Inc,Technology,Software - Infrastructure,USA,408.5,179.82
ADI,Analog Devices Inc,Technology,Semiconductors,USA,212.95,105.69
ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,52.12,24.94
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,290.2,118.24
ADSK,Autodesk Inc,Technology,Software - Application,USA,284.82,61.24
AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,88.81,23.71
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,94.54,50.35
AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,USA,131.31,11.02
AFL,Aflac Inc,Financial,Insurance - Life,USA,102.49,56.94
AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA,54.69,17.18
AIG,American International Group Inc,Financial,Insurance - Diversified,USA,70.84,44.19
AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA,199.87,10.25
AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers,USA,285.81,71.4
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,89.61,13.46
ALAB,Astera Labs Inc,Technology,Semiconductors,USA,127.19,20.17
ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,91.51,10.76
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,213.68,15.95
ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,182.54,48.34
ALLY,Ally Financial Inc,Financial,Credit Services,USA,34.96,10.65
ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,USA,258.27,33.31
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,170.86,139.03
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,117.32,190.39
AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,176.5,40.83
AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,270.19,145.24
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA,35.43,13.09
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,517.59,50.21
