Date,Title,Link,Source
2024-11-25 03:28:00,"Blackstone to list Spain's Cirsa shares in Madrid early 2025, Expansion says",https://finance.yahoo.com/news/blackstone-list-spains-cirsa-shares-082836221.html,Reuters
2024-11-21 16:57:00,Blackstone Private Credit Fund Taps Debt Market for $1.5 Billion,https://finance.yahoo.com/news/blackstone-private-credit-fund-taps-215722305.html,Bloomberg
2024-11-20 22:35:00,Blackstone Invests $500 Million in Lancium AI Buildout,https://finance.yahoo.com/news/blackstone-invests-500-million-lancium-003549095.html,Bloomberg
2024-11-19 12:57:00,Blackstone Eyes Securitization Market for Jersey Mikes Buyout,https://finance.yahoo.com/news/blackstone-eyes-securitization-market-jersey-175725218.html,Bloomberg
2024-11-19 11:57:00,"Cirsa, HBX Group Said to Plan Spain IPOs for First Half of 2025",https://finance.yahoo.com/news/cirsa-hbx-group-said-plan-165721021.html,Bloomberg
2024-11-19 07:48:00,Blackstone Agrees to Acquire Sandwich Chain Jersey Mikes,https://finance.yahoo.com/news/blackstone-said-near-deal-sandwich-015750587.html,Bloomberg
2024-11-19 07:14:00,Blackstone strikes deal to buy Jersey Mike's Subs,https://finance.yahoo.com/news/blackstone-strikes-deal-buy-jersey-121432799.html,Reuters
2024-11-18 20:41:00,Blackstone strikes $8 billion deal for sandwich chain Jersey Mike's Subs,https://finance.yahoo.com/news/blackstone-nears-deal-jersey-mikes-014110571.html,Reuters
2024-11-14 16:00:00,"Blackstone, Warburg Weighing $12 Billion Sale of IntraFi",https://finance.yahoo.com/news/blackstone-warburg-weighing-12-billion-210011823.html,Bloomberg
2024-11-14 05:43:00,"Exclusive-Blackstone eyes 20% stake in India Haldiram's snacks at $8 billion valuation, sources say",https://finance.yahoo.com/news/exclusive-blackstone-eyes-20-stake-104329027.html,Reuters
2024-11-13 14:34:00,Element Capital Held $2 Billion in S&P 500 ETFs Before Election,https://finance.yahoo.com/news/element-capital-held-2-billion-193402305.html,Bloomberg
2024-11-12 16:51:00,"Exclusive-Blackstone backs Brigade with $300 million investment for private credit, CLOs",https://finance.yahoo.com/news/exclusive-blackstone-backs-brigade-300-215105206.html,Reuters
2024-11-11 13:20:00,Blackstone Nears Deal to Buy American Industrial Partners Stake,https://finance.yahoo.com/news/blackstone-nears-deal-buy-american-182009524.html,Bloomberg
2024-11-11 11:28:00,Blackstone CEOs Trump Bet Pays Off as His No. 2 Plays Powerful Hedge,https://finance.yahoo.com/news/blackstone-ceo-trump-bet-pays-162840140.html,Bloomberg
2024-11-07 11:41:00,SocGen Leasing Arm Ayvens Said to Draw Blackstone Interest,https://finance.yahoo.com/news/socgen-leasing-arm-ayvens-said-164101574.html,Bloomberg
2024-11-05 21:49:00,"Bain, Apollo and Brookfield Said to Eye Blackstones Worker-Housing Firm",https://finance.yahoo.com/news/bain-apollo-brookfield-said-eye-024949252.html,Bloomberg
2024-11-05 11:09:00,A New Boss Is Taking Over at Blackstones $37 Billion Tac Opps Arm,https://finance.yahoo.com/news/boss-taking-over-blackstone-37-160921668.html,Bloomberg
2024-11-04 01:02:00,Blackstone targets new European markets in global wealth push,https://finance.yahoo.com/news/blackstone-targets-european-markets-global-060245718.html,Reuters
2024-11-03 18:52:00,"Blackstone in Advanced Talks to Buy Property Owner, Reuters Says",https://finance.yahoo.com/news/blackstone-advanced-talks-buy-property-235248154.html,Bloomberg
2024-11-03 18:27:00,"Exclusive-Blackstone in advanced talks to acquire shopping center owner Retail Opportunity, sources say",https://finance.yahoo.com/news/exclusive-blackstone-advanced-talks-acquire-232722081.html,Reuters
2024-10-30 20:32:00,"Blackstone nears $5 billion Rogers investment, the Globe and Mail reports",https://finance.yahoo.com/news/blackstone-nears-5-billion-rogers-003229702.html,Reuters
2024-10-30 19:44:00,Blackstone Close to C$7 Billion Investment Deal with Rogers,https://finance.yahoo.com/news/blackstone-close-c-7-billion-234455230.html,Bloomberg
2024-10-30 08:00:00,Apollo Founder Harris Says Big PE Firms Have Left Alpha Behind,https://finance.yahoo.com/news/apollo-founder-harris-says-big-120000441.html,Bloomberg
2024-10-29 09:00:00,DoubleLine Sees Compelling Case to Buy Asset-Backed Securities Tied to Data Centers,https://finance.yahoo.com/news/doubleline-sees-compelling-case-buy-130000748.html,Bloomberg
2024-10-29 08:00:00,Blackstone Raises $22 Billion in New Direct Lending Fund,https://finance.yahoo.com/news/blackstone-raises-22-billion-direct-120000748.html,Bloomberg
2024-10-28 09:39:00,"Fortress, BlackRock Said to Consider Joint Bid for Viridium",https://finance.yahoo.com/news/fortress-blackrock-said-mull-joint-095633331.html,Bloomberg
2024-10-25 14:46:00,"Exclusive-Blackstone in talks to buy US pipeline stakes from EQT for $3.5 billion, sources say",https://finance.yahoo.com/news/exclusive-blackstone-talks-buy-us-184612461.html,Reuters
2024-10-25 10:17:00,Banks Said to Nudge Out Private Credit for AirTrunk Financing,https://finance.yahoo.com/news/banks-said-nudge-private-credit-141727422.html,Bloomberg
2024-10-23 06:03:00,PE Firms Said to Circle German Vitamin Supplement Maker Orthomol,https://finance.yahoo.com/news/pe-firms-said-circle-german-100344585.html,Bloomberg
2024-10-23 03:46:00,Schwarzman Says US to Avoid Recession Regardless of Election,https://finance.yahoo.com/news/schwarzman-says-us-avoid-recession-031614186.html,Bloomberg
2024-10-22 22:20:00,Blackstone Says Very Early Days in Shift to Private Credit,https://finance.yahoo.com/news/blackstone-says-very-early-days-022046324.html,Bloomberg
2024-10-21 16:40:00,"Blackstone, Apollo Step Up Pursuit of Investment-Grade Loans",https://finance.yahoo.com/news/blackstone-apollo-step-pursuit-investment-181543462.html,Bloomberg
2024-10-18 09:22:00,Goldman and Blackstone Team Up for Novel Fund Finance Bond,https://finance.yahoo.com/news/goldman-teams-blackstone-sell-novel-223936479.html,Bloomberg
2024-10-17 16:09:00,"Blackstones Credit Arm Now Its Top Business, Fueling Profit",https://finance.yahoo.com/news/blackstone-credit-arm-now-top-105654124.html,Bloomberg
2024-10-17 07:05:00,"Blackstone tops profit estimate as its assets hit record, dealmaking picks up",https://finance.yahoo.com/news/blackstone-tops-profit-estimate-assets-110500801.html,Reuters
2024-10-15 10:13:00,Blackstone to invest $8.2 billion in data centres in northeastern Spain,https://finance.yahoo.com/news/blackstone-invest-8-2-billion-141342736.html,Reuters
2024-10-11 03:29:00,Blackstone Snaps Up a Rare Type of Junior Loan in Hunt for Yield,https://finance.yahoo.com/news/blackstone-snaps-rare-type-junior-072951800.html,Bloomberg
2024-10-10 17:14:00,Private Credits Record Quarter Masks Worry of Smaller Deals,https://finance.yahoo.com/news/private-credit-record-quarter-masks-143312436.html,Bloomberg
2024-10-09 05:55:00,Ex-Blackstone Rainmaker Taps Apollo Model in Asset Manager Deal,https://finance.yahoo.com/news/ex-blackstone-rainmaker-taps-apollo-095535346.html,Bloomberg
2024-10-05 15:00:00,Banks Whip Out Checkbooks for Leveraged Buyouts as Rates Fall,https://finance.yahoo.com/news/banks-whip-checkbooks-leveraged-buyouts-190000190.html,Bloomberg
2024-10-03 17:43:00,Blackstone Spies $30 Trillion Opportunity in Private Credit,https://finance.yahoo.com/news/blackstone-spies-30-trillion-opportunity-202957992.html,Bloomberg
2024-10-03 09:45:00,"Blackstone seeks to raise at least $10 billion in new Asia PE fund, sources say",https://finance.yahoo.com/news/blackstone-seeks-raise-least-10-134506705.html,Reuters
2024-10-03 09:06:00,Blackstone Seeks More Than $10 Billion in New Asia Buyout Fund,https://finance.yahoo.com/news/blackstone-seeks-more-10-billion-130628407.html,Bloomberg
2024-10-01 08:00:00,Blackstone Leads Private Credit Deal for Anti-Theft Tech Maker,https://finance.yahoo.com/news/blackstone-leads-private-credit-deal-120000117.html,Bloomberg
2024-09-30 11:11:00,Private Lenders Raise Most High-Grade Debt Ever as Risks Rise,https://finance.yahoo.com/news/private-lenders-raise-most-high-151131310.html,Bloomberg
2024-09-30 09:33:00,"Blackstone Taps Värde, Jefferies Alums Amid Credit Push",https://finance.yahoo.com/news/blackstone-taps-v-rde-jefferies-133302188.html,Bloomberg
2024-11-27 09:49:00,Veritas Looks to Reduce Exposure to Private Loan for Software Company Medallia,https://finance.yahoo.com/news/veritas-looks-reduce-exposure-private-144915526.html,Bloomberg
2024-11-29 09:16:00,Blackstone Deepens India Push With $5 Billion Hospital Deal,https://finance.yahoo.com/news/aster-said-near-deal-blackstone-163758866.html,Bloomberg
2024-12-03 12:00:00,Blackstone Refinances Debt for Luxury NYC Condo Tower With Munis,https://finance.yahoo.com/news/blackstone-refinances-debt-luxury-nyc-170028738.html,Bloomberg
2024-12-04 06:54:00,UniCredit to offer wealthy clients Blackstone's private equity fund,https://finance.yahoo.com/news/unicredit-offer-wealthy-clients-blackstones-115434580.html,Reuters
2024-12-08 17:00:00,Blackstones Data-Center Ambitions School a City on AI Power Strains,https://finance.yahoo.com/m/5a96d7a9-055c-31a2-af29-d207df5e9ec9/blackstone%E2%80%99s%C2%A0data-center.html,Bloomberg
2024-12-11 11:00:00,Blackstones iQ Buys Defaulted London Office for Dorms,https://finance.yahoo.com/news/blackstone-buys-defaulted-london-office-151406262.html,Bloomberg
2024-12-12 10:36:00,"Blackstone, Ares Sign $1.4 Billion Private Credit Deal for Odevo",https://finance.yahoo.com/news/blackstone-leads-1-4-billion-153643333.html,Bloomberg
2024-12-13 03:29:00,Blackstones Warehouse Spree Adds 470 Million Czech Deal,https://finance.yahoo.com/news/blackstone-warehouse-spree-adds-470-082921033.html,Bloomberg
2024-12-13 05:21:00,Blackstones Wealth Boss Targets $1 Trillion in Assets,https://finance.yahoo.com/news/blackstone-wealth-boss-targets-1-102159769.html,Bloomberg
2024-12-13 09:05:00,Tech Start-Up Databricks Seeks $2.5 Billion Private Debt Financing,https://finance.yahoo.com/news/tech-start-databricks-seeks-2-140500737.html,Bloomberg
2024-12-16 06:10:00,Blackstone Is Said to Emerge as Top Bidder for Haldiram Deal,https://finance.yahoo.com/news/blackstone-said-emerge-lead-bidder-094155816.html,Bloomberg
2024-12-16 10:00:00,TCWs Koch Says Firm Is Entering Private Real Estate Debt Market,https://finance.yahoo.com/news/tcw-koch-says-firm-entering-150000864.html,Bloomberg
2024-12-17 19:16:00,Blackstone Buys Ritz-Carlton Okinawa as Japan Tourism Booms,https://finance.yahoo.com/news/blackstone-buys-ritz-carlton-okinawa-001655971.html,Bloomberg
2024-12-17 23:24:00,Blackstone Buys Ritz-Carlton Okinawa as Japan Tourism Booms,https://finance.yahoo.com/news/blackstone-buys-ritz-carlton-okinawa-001655971.html,Bloomberg
2024-12-19 07:00:00,Private Credit Plots Expansion in Bid for $40 Trillion Prize,https://finance.yahoo.com/news/private-credit-looks-consumers-infrastructure-120000613.html,Bloomberg
2024-12-19 20:26:00,Banner Year Beckons Again for India After $19 Billion IPO Record,https://finance.yahoo.com/news/banner-beckons-again-india-19-012644450.html,Bloomberg
2024-12-20 13:23:00,"Blackstone Taps Dealmakers From KKR, Ares in Private Credit Push",https://finance.yahoo.com/news/blackstone-taps-dealmakers-kkr-ares-182343234.html,Bloomberg
