Date,Title,Link,Source
2024-11-25 09:28:00,Citi Bonuses Buy Time for New Wealth Bosss Rush to Revamp,https://finance.yahoo.com/news/citi-bonuses-buy-time-wealth-110000884.html,Bloomberg
2024-11-25 08:12:00,"Citigroup awards special retention bonuses for dozens, Bloomberg News reports",https://finance.yahoo.com/news/citigroup-awards-special-retention-bonuses-131222800.html,Reuters
2024-11-22 11:21:00,"Citi gets license for regional headquarters in Saudi Arabia, memo shows",https://finance.yahoo.com/news/citi-gets-license-regional-headquarters-162156225.html,Reuters
2024-11-21 15:22:00,Oil Rises on Signs of Further Escalation in Russia-Ukraine War,https://finance.yahoo.com/news/oil-steadies-us-crude-inventories-233236736.html,Bloomberg
2024-11-20 05:17:00,"Citi, Santander Prep Up to 4 Billion Debt for Urbaser Deal",https://finance.yahoo.com/news/citi-santander-prep-4-billion-193833503.html,Bloomberg
2024-11-14 17:11:00,"Citigroup facing US probe over ties to sanctioned Russian billionaire, Barron's reports",https://finance.yahoo.com/news/citigroup-facing-us-probe-over-221133789.html,Reuters
2024-11-14 14:42:00,Citigroup Probed by US Over Ties to Sanctioned Russian Billionaire,https://finance.yahoo.com/news/citigroup-probed-us-over-ties-194229951.html,Bloomberg
2024-11-14 08:44:00,Kuwait to Replace Head of Its $1 Trillion Sovereign Wealth Fund,https://finance.yahoo.com/news/kuwait-said-weigh-replacing-md-055503357.html,Bloomberg
2024-11-07 15:17:00,"Oil Rises as Traders Dissect Production, Geopolitics Under Trump",https://finance.yahoo.com/news/oil-steadies-election-jolt-traders-232830268.html,Bloomberg
2024-11-04 15:54:00,"US banks encourage workers to vote, carving out paid time off",https://finance.yahoo.com/news/us-banks-encourage-workers-vote-205455912.html,Reuters
2024-11-04 09:14:00,Citi hires top dealmaker Jeff Stute from Perella to bolster healthcare M&A ranks,https://finance.yahoo.com/news/citi-hires-top-dealmaker-jeff-141408867.html,Reuters
2024-10-30 07:04:00,Embraer's Eve gets $50 million Citi loan to fund 'flying car' development,https://finance.yahoo.com/news/embraers-eve-gets-50-million-110443737.html,Reuters
2024-10-28 15:25:00,Oil Plunges as Israel Limits Iran Strike to Military Targets,https://finance.yahoo.com/news/oil-slumps-5-israel-limits-221100674.html,Bloomberg
2024-10-28 10:13:00,Citigroup shifts some staff out of Lebanon amid conflict,https://finance.yahoo.com/news/citigroup-shifts-staff-lebanon-amid-141307753.html,Reuters
2024-10-28 04:20:00,Olympus CEO Exits After Allegation He Bought Illegal Drugs,https://finance.yahoo.com/news/olympus-ceo-exits-probe-drug-235003968.html,Bloomberg
2024-10-25 14:28:00,Muni Bankers Shrug Off Citis Exit and Celebrate Deal Bonanza,https://finance.yahoo.com/news/muni-bankers-shrug-off-citi-182828524.html,Bloomberg
2024-10-25 10:17:00,Banks Said to Nudge Out Private Credit for AirTrunk Financing,https://finance.yahoo.com/news/banks-said-nudge-private-credit-141727422.html,Bloomberg
2024-10-25 06:41:00,China Lawmakers to Meet During US Election Amid Stimulus Hopes,https://finance.yahoo.com/news/china-lawmakers-meet-nov-4-075949821.html,Bloomberg
