Date,Title,Link,Source
2024-11-18 11:45:00,"Carlyle Sees Steady Improvement for US IPOs in 2025, But No Rush",https://finance.yahoo.com/news/carlyle-sees-steady-improvement-us-164511546.html,Bloomberg
2024-11-12 16:09:00,Carlyle-Backed Veritas Nears $4 Billion Debt Deal With Creditors,https://finance.yahoo.com/news/carlyle-backed-veritas-nears-4-210908050.html,Bloomberg
2024-11-10 07:00:00,"Carry Makes a Comeback, Pushing Pay in Private Equity Higher",https://finance.yahoo.com/news/carry-makes-comeback-pushing-pay-120000059.html,Bloomberg
2024-11-08 15:24:00,Lucrative Bonuses for Wall Street CEOs Take Shape on Trump Win,https://finance.yahoo.com/news/goldman-sachs-carlyle-ceos-race-160024918.html,Bloomberg
2024-11-07 10:40:00,Carlyle CEO Says Swift US Election Results Will Recharge Dealmaking,https://finance.yahoo.com/news/carlyle-ceo-says-swift-us-154030886.html,Bloomberg
2024-11-07 09:52:00,Carlyle Boosts Margins Even as Shareholder Earnings From Buyout Exits Slow,https://finance.yahoo.com/news/carlyle-boosts-margins-even-shareholder-110100452.html,Bloomberg
2024-11-07 06:35:00,Carlyle third-quarter profit tops Wall St view; shares gain,https://finance.yahoo.com/news/carlyle-third-quarter-profit-tops-113534067.html,Reuters
2024-10-31 13:12:00,Carlyle sells holding in Tunisia-focused Mazarine Energy to CEO,https://finance.yahoo.com/news/carlyle-sells-holding-tunisia-focused-171227762.html,Reuters
2024-10-25 02:23:00,Carlyle-Backed Rigaku Trades Below IPO Price in Tokyo Debut,https://finance.yahoo.com/news/carlyle-backed-rigaku-trades-below-062325890.html,Bloomberg
2024-10-22 09:48:00,Carlyle Drops Out of Bidding for Thyssenkrupp Marine Unit,https://finance.yahoo.com/news/carlyle-drops-bidding-thyssenkrupp-marine-130243438.html,Bloomberg
2024-10-22 08:10:00,Exclusive-Carlyle quits bidding process for Thyssenkrupp marine arm,https://finance.yahoo.com/news/exclusive-carlyle-drops-bidding-process-121000707.html,Reuters
2024-10-17 06:05:00,Carlyle-backed music venture buys rights to Randy Newman's recorded catalog,https://finance.yahoo.com/news/carlyle-backed-music-venture-buys-100503023.html,Reuters
2024-10-09 15:13:00,"Oil Steadies as US Stockpiles Swell, Traders Weigh China Policy",https://finance.yahoo.com/news/oil-holds-china-induced-slump-233907513.html,Bloomberg
2024-10-09 02:09:00,Carlyle-backed Rigaku looks to raise up to $870 million in Tokyo IPO,https://finance.yahoo.com/news/carlyle-owned-rigaku-sets-tentative-060931902.html,Reuters
2024-10-02 16:10:00,StandardAero Shares Surge After IPO Raises $1.44 Billion,https://finance.yahoo.com/news/standardaero-shares-surge-ipo-raises-165604061.html,Bloomberg
2024-10-01 20:33:00,Carlyle-Backed StandardAero Nears Pricing IPO Above Range,https://finance.yahoo.com/news/carlyle-backed-standardaero-nears-pricing-163140610.html,Bloomberg
2024-09-27 09:20:00,Carlyle-backed StandardAero targets $7.7 billion valuation in upsized IPO,https://finance.yahoo.com/news/carlyle-backed-standardaero-seeks-1-132040957.html,Reuters
2024-09-23 07:47:00,Carlyle-Backed StandardAero IPO Seeks to Raise $1.1 Billion,https://finance.yahoo.com/news/carlyle-backed-standardaero-ipo-seeks-114738839.html,Bloomberg
2024-09-23 07:00:00,Carlyle-backed StandardAero targets $7.5 billion valuation in US IPO,https://finance.yahoo.com/news/carlyle-backed-standardaero-targets-7-110055552.html,Reuters
2024-09-19 14:00:00,Carlyles Thomas Says a 4.5% Fed Rate Stands to Be New Normal,https://finance.yahoo.com/news/carlyle-thomas-says-4-5-180013685.html,Bloomberg
2024-09-19 13:25:00,Private Credit Is Being Threatened by a Cocktail of Risks,https://finance.yahoo.com/news/private-credit-being-threatened-cocktail-172514497.html,Bloomberg
2024-09-18 08:42:00,"Carlyles CEO Sees Three Fed Rate Cuts This Year, Then a Pause",https://finance.yahoo.com/news/carlyle-ceo-sees-three-fed-124229977.html,Bloomberg
2024-09-16 15:50:00,Carlyle Revives IPO Plans for Chemical Firm Nouryon,https://finance.yahoo.com/news/carlyle-revives-ipo-plans-chemical-195023905.html,Bloomberg
2024-09-16 10:43:00,Oak Hill Provides $775 Million Private Loan for Worldpac,https://finance.yahoo.com/news/oak-hill-provides-775-million-144303142.html,Bloomberg
2024-09-13 11:26:00,Carlyle Picks IPO for StandardAero After Sale Attempt,https://finance.yahoo.com/news/carlyle-picks-ipo-standardaero-sale-234403918.html,Bloomberg
2024-09-12 10:06:00,Carlyle's Sedgwick valued at $13.2 billion in investment deal with Altas,https://finance.yahoo.com/news/atlas-partners-invest-carlyles-sedgwick-140629522.html,Reuters
2024-09-09 15:11:00,Oil Rebounds After Weekly Drop as Traders Assess Demand Outlook,https://finance.yahoo.com/news/oil-rebounds-brutal-week-traders-232541913.html,Bloomberg
2024-09-06 19:36:00,Carlyle-Backed StandardAero Files for IPO Showing a Profit,https://finance.yahoo.com/news/carlyle-backed-standardaero-files-ipo-214707596.html,Bloomberg
2024-09-06 17:35:00,Carlyle-backed aviation service provider StandardAero files for US IPO,https://finance.yahoo.com/news/carlyle-backed-aviation-provider-standardaero-213536396.html,Reuters
2024-09-06 12:43:00,Carlyle affiliate to sell stake of up to $1.2 billion in Hexaware Tech's India IPO,https://finance.yahoo.com/news/carlyle-affiliate-sell-stake-1-164327207.html,Reuters
2024-09-03 16:36:00,"Carlyles Currie Sees Copper Capped at $9,500 on China Demand",https://finance.yahoo.com/news/carlyle-currie-sees-copper-capped-203601797.html,Bloomberg
2024-09-03 12:52:00,Carlyle Picks Banks for $4.7 Billion Acrotecs Zurich IPO,https://finance.yahoo.com/news/carlyle-picks-banks-4-7-165252683.html,Bloomberg
