Date,Title,Link,Source
2024-08-12 15:43:00,Texas Attorney General Probes CenterPoint on Beryl Response,https://finance.yahoo.com/news/texas-attorney-general-opens-probe-150840510.html,Bloomberg
2024-08-08 15:55:00,CenterPoint Energy Gauging Bond Interest After Hurricane Impacts,https://finance.yahoo.com/news/centerpoint-energy-gauging-bond-interest-195549312.html,Bloomberg
2024-07-30 10:33:00,CenterPoint Wants Houston Customers to Cover $2 Billion in Storm Costs,https://finance.yahoo.com/news/centerpoint-wants-houston-customers-cover-143335635.html,Bloomberg
2024-07-30 07:27:00,CenterPoint Energy sees up to $1.3 billion in restoration costs after Hurricane Beryl,https://finance.yahoo.com/news/centerpoint-energy-sees-1-3-112749090.html,Reuters
2024-07-25 14:34:00,"Houston Utility CEO Apologizes for Beryl Response, Vows Changes",https://finance.yahoo.com/news/houston-utility-ceo-apologizes-beryl-183415406.html,Bloomberg
2024-07-20 10:00:00,Houston Utility Slammed Over Fumbled Response to Beryl Power Outages,https://finance.yahoo.com/news/houston-utility-slammed-over-fumbled-140018314.html,Bloomberg
2024-07-16 09:46:00,CenterPoint Sued Over Hurricane Beryl Power Outages in Houston,https://finance.yahoo.com/news/centerpoint-sued-over-hurricane-beryl-134603389.html,Bloomberg
2024-07-11 13:03:00,Half a Million Will Be Under Houston Outages a Week After Beryl,https://finance.yahoo.com/news/no-shops-no-gas-large-133940923.html,Bloomberg
2024-07-10 13:50:00,Houston Was Forced to Rely on a Burger App to Track Post-Beryl Blackouts,https://finance.yahoo.com/news/houston-forced-rely-burger-app-151845406.html,Bloomberg
2024-07-10 10:36:00,"Texas power outages hinder Hurricane Beryl recovery, delay oil infrastructure restarts",https://finance.yahoo.com/news/power-outages-hinder-hurricane-beryl-143646882.html,Reuters
2024-07-10 09:02:00,Houston Power Outages Still Top 1.3 Million With Slow Recovery,https://finance.yahoo.com/news/houston-power-outages-still-top-130221441.html,Bloomberg
2024-07-09 15:04:00,Houston Bakes in Post-Beryl Blackout as Biden Declares Emergency,https://finance.yahoo.com/news/blacked-houston-feels-106f-gas-181309760.html,Bloomberg
2024-07-08 12:23:00,Texas Power Outages Top 2 Million as Beryl Pounds State,https://finance.yahoo.com/news/hurricane-beryl-leaves-thousands-texas-123842214.html,Bloomberg
2024-05-21 13:53:00,"Houston Storm Hit Most-Stressed US Grid With Power Outages at 140,000",https://finance.yahoo.com/news/houston-storm-hit-most-stressed-175350711.html,Bloomberg
2025-02-20 08:08:00,CenterPoint raises spending plan as power demand from data centers soars,https://finance.yahoo.com/news/centerpoint-joins-peers-raising-capital-130803246.html,Reuters
