Date,Title,Link,Source
2024-11-01 14:03:00,Capital One warns of potential CFPB enforcement action over its savings accounts,https://finance.yahoo.com/news/capital-one-warns-potential-cfpb-180306387.html,Reuters
2024-10-25 23:38:00,New York probing legality of Capital One-Discover merger,https://finance.yahoo.com/news/york-probing-legality-capital-one-033842229.html,Reuters
2024-10-25 07:00:00,Capital One Wants to Woo the Rich Without Being Snobby About It,https://finance.yahoo.com/news/capital-one-wants-woo-rich-110018537.html,Bloomberg
2024-10-24 18:34:00,"Capital One profit beats estimates on card, auto loan growth",https://finance.yahoo.com/news/capital-one-profit-beats-estimates-202635922.html,Bloomberg
2024-10-24 17:19:00,Consumer lender Capital One's Q3 profit rises as high interest rates boost income,https://finance.yahoo.com/news/consumer-lender-capital-ones-q3-211929984.html,Reuters
2024-10-23 14:16:00,Capital One-Discover Deal Faces New York Antitrust Probe,https://finance.yahoo.com/news/capital-one-discover-deal-faces-161839398.html,Bloomberg
2024-10-23 12:50:00,New York probing legality of Capital One-Discover merger,https://finance.yahoo.com/news/york-probing-whether-capital-one-165033516.html,Reuters
2024-07-23 16:20:00,Capital One profit drops 61% as it stockpiles more money for loan losses,https://finance.yahoo.com/news/capital-one-profit-declines-61-202015290.html,Reuters
2024-07-19 06:03:00,"Capital One, community groups square off in public meeting on Discover deal",https://finance.yahoo.com/news/capital-one-community-groups-square-100315648.html,Reuters
2025-01-21 16:23:00,"Capital One Profit Climbs 55% as Margins Expand, Card Loans Grow",https://finance.yahoo.com/news/capital-one-profit-climbs-55-212349009.html,Bloomberg
2025-01-21 16:44:00,Capital One's fourth-quarter profit jumps on interest income boost,https://finance.yahoo.com/news/capital-ones-fourth-quarter-profit-214408086.html,Reuters
2025-01-22 17:27:00,Discover Financial fourth-quarter profit jumps on lower loan loss provisions,https://finance.yahoo.com/news/discover-financial-fourth-quarter-profit-222740151.html,Reuters
2025-02-10 17:19:00,US consumer watchdog cases in limbo following agency's idling,https://finance.yahoo.com/news/us-consumer-watchdog-cases-limbo-221928976.html,Reuters
2025-02-18 14:52:00,"Capital One, Discover Shareholders Approve $35 Billion Merger",https://finance.yahoo.com/news/capital-one-discover-shareholders-approve-195201091.html,Bloomberg
2025-02-27 11:09:00,US CFPB drops slew of cases including against Capital One,https://finance.yahoo.com/news/us-cfpb-drops-enforcement-action-160926663.html,Reuters
2025-02-27 13:41:00,"CFPB Drops Biden Lawsuits Against Capital One, Rocket Unit",https://finance.yahoo.com/news/cfpb-drops-biden-lawsuits-against-184127392.html,Bloomberg
