Date,Title,Link,Source
2024-11-14 09:35:00,"Cisco Gives Tepid Forecast, Overshadowing Strong Results",https://finance.yahoo.com/news/cisco-gives-strong-revenue-forecast-210726576.html,Bloomberg
2024-11-13 16:10:00,Cisco raises annual revenue forecast as AI spurs networking tools demand,https://finance.yahoo.com/news/cisco-raises-annual-revenue-forecast-211014488.html,Reuters
2025-01-30 16:42:00,US Sues to Stop HPE $14 Billion Deal to Buy Juniper Networks (),https://finance.yahoo.com/news/us-sues-stop-hpe-14-172513277.html,Bloomberg
2025-02-11 12:19:00,Juniper Networks denies allegations in US DOJ lawsuit to block $14 billion merger with HPE,https://finance.yahoo.com/news/juniper-networks-denies-allegations-us-171958889.html,Reuters
2025-02-12 16:10:00,Cisco raises annual revenue forecast as AI boom boosts networking gear demand,https://finance.yahoo.com/news/cisco-raises-full-revenue-forecast-211017233.html,Reuters
2025-02-12 18:30:00,Cisco Gains After AI-Fueled Networking Spending Lifts Forecast,https://finance.yahoo.com/news/cisco-gives-solid-forecast-lifted-211441248.html,Bloomberg
2025-02-13 04:44:00,Cisco shares rise on strong demand for AI gear as Trump tariffs weigh,https://finance.yahoo.com/news/cisco-shares-rise-strong-demand-094433278.html,Reuters
2025-02-13 09:35:00,Cisco Gains Most in 6 Months on Demand for AI Infrastructure,https://finance.yahoo.com/news/cisco-gives-solid-forecast-lifted-211441248.html,Bloomberg
2025-02-18 09:44:00,Cisco and IBM Show Old-School Tech Names Can Be AI Winners Too,https://finance.yahoo.com/news/cisco-ibm-show-old-school-104916658.html,Bloomberg
2025-02-25 12:43:00,"Nvidia, Cisco Extend Partnership Aimed at Promoting AI",https://finance.yahoo.com/news/nvidia-cisco-extend-partnership-aimed-124000376.html,Bloomberg
