Date,Title,Link,Source
2024-11-20 15:29:00,"Ford to Cut 4,000 Jobs in Europe as EV Demand Slows",https://finance.yahoo.com/video/ford-cut-4-000-jobs-202954658.html,Bloomberg
2024-11-20 11:45:00,"Ford Plans 4,000 Job Cuts in Europe as EVs Lose Momentum",https://finance.yahoo.com/news/ford-plans-4-000-job-164539961.html,Bloomberg
2024-11-20 11:23:00,UAW says majority of workers at Ford joint-venture battery plant sign union cards,https://finance.yahoo.com/news/uaw-says-supermajority-workers-ford-162315690.html,Reuters
2024-11-14 10:20:00,Ford Motor hit with $165 million US penalty over delayed rearview camera recalls,https://finance.yahoo.com/news/ford-motor-hit-165-million-152005856.html,Reuters
2024-11-10 23:21:00,BYD Closing In on Ford Deliveries After Besting Tesla on Revenue,https://finance.yahoo.com/news/byd-closing-ford-deliveries-besting-042150828.html,Bloomberg
2024-11-07 00:48:00,Huayou Seeks $2.7 Billion for Ford-Backed Indonesia Nickel Plant,https://finance.yahoo.com/news/huayou-seeks-2-7-billion-054859866.html,Bloomberg
2024-11-04 09:43:00,Ford's US sales rise about 15% in October,https://finance.yahoo.com/news/fords-us-sales-rise-15-144350082.html,Reuters
2024-10-31 16:20:00,Peloton Rallies After Tapping Ford Executive as Its Next CEO,https://finance.yahoo.com/news/peloton-rallies-tapping-ford-executive-202040212.html,Bloomberg
2024-10-31 11:54:00,"Ford to lower managers' bonuses if company performance fails to improve, sources say",https://finance.yahoo.com/news/ford-lower-managers-bonuses-company-155458575.html,Reuters
2024-10-31 10:10:00,Ford's head of integrated services leaves automaker to join Peloton,https://finance.yahoo.com/news/fords-head-integrated-services-leaves-141055685.html,Reuters
2024-10-31 10:00:00,Ford to halt production of F-150 Lightning EV pickup trucks for six weeks,https://finance.yahoo.com/news/ford-halt-production-f-150-140059965.html,Reuters
2024-10-30 06:04:00,Analysis-Ford investors impatient for the automaker to boost efficiency efforts,https://finance.yahoo.com/news/analysis-ford-investors-impatient-automaker-100434771.html,Reuters
2024-11-26 16:09:00,"GM, Ford Fall on Trump Tariffs Seen Adding $3,000 to Car Prices",https://finance.yahoo.com/news/gm-ford-fall-trump-tariffs-210947201.html,Bloomberg
2024-12-03 12:23:00,"Ford UK chair calls on government for EV incentives, Sky News reports",https://finance.yahoo.com/news/ford-uk-chair-calls-government-172338308.html,Reuters
2024-12-16 08:03:00,"US finalizes $9.63 billion loan for Ford, SK On joint battery venture",https://finance.yahoo.com/news/us-finalizes-9-63-billion-130331469.html,Reuters
2024-12-16 19:47:00,SoftBank Pledges $100 Billion US Investment at Trump Event,https://finance.yahoo.com/news/softbank-pledges-100-billion-us-185954894.html,Bloomberg
2024-12-18 12:52:00,Ford to change its quality leader as it chases lower warranty costs,https://finance.yahoo.com/news/ford-change-quality-leader-chases-175253162.html,Reuters
2024-12-23 12:40:00,"Ford, GM donate $1 million and contribute vehicles to Trump's inauguration",https://finance.yahoo.com/news/ford-donates-1-million-fleet-174043994.html,Reuters
2024-12-24 10:52:00,Toyota is donating $1 million to Trump's inauguration,https://finance.yahoo.com/news/toyota-donating-1-million-trumps-155208812.html,Reuters
2024-12-31 09:59:00,"Ford to recall about 20,484 vehicles over battery concern",https://finance.yahoo.com/m/a92db384-3ea6-353a-85a8-0e9bb9200e3f/ford-to-recall-about-20%2C484.html,Reuters
2024-12-31 09:59:00,"Ford to recall 20,484 hybrid SUVs over battery concern",https://finance.yahoo.com/m/a92db384-3ea6-353a-85a8-0e9bb9200e3f/ford-to-recall-20%2C484-hybrid.html,Reuters
2025-01-02 16:49:00,Blue-Chip Firms Sell $15 Billion of Debt in January Spree,https://finance.yahoo.com/news/ford-general-motors-kick-off-151515998.html,Bloomberg
2025-01-03 11:12:00,Ford's US sales rise 4.2% in 2024,https://finance.yahoo.com/news/fords-us-sales-rise-4-161221041.html,Reuters
2025-01-10 09:40:00,Oshkosh Ready for Possible USPS Shift to Gas Trucks From EVs,https://finance.yahoo.com/news/oshkosh-ready-possible-usps-shift-144032106.html,Bloomberg
