Date,Title,Link,Source
2024-11-22 07:40:00,Honeywell to sell personal protective equipment business for $1.33 billion,https://finance.yahoo.com/news/honeywell-sell-personal-protective-equipment-124038587.html,Reuters
2024-11-15 11:21:00,Analysis-Elliott's $5 billion Honeywell gambit: would a split pay off?,https://finance.yahoo.com/news/analysis-elliotts-5-billion-honeywell-162147885.html,Reuters
2024-11-12 10:14:00,Elliott Amasses $5 Billion-Plus Stake in Honeywell,https://finance.yahoo.com/news/elliott-amasses-5-billion-plus-142952787.html,Bloomberg
2024-10-24 08:15:00,Honeywell forecasts tepid annual sales on industrial automation weakness,https://finance.yahoo.com/news/honeywell-forecasts-tepid-annual-sales-121502575.html,Reuters
2024-10-21 10:21:00,Honeywell partners with Google to integrate data with generative AI,https://finance.yahoo.com/news/honeywell-partners-google-integrate-data-142126314.html,Reuters
2024-10-08 06:38:00,Honeywell Plans to Spin Off Its Advanced Materials Division,https://finance.yahoo.com/news/honeywell-plans-spin-off-advanced-103837549.html,Bloomberg
2024-12-02 18:22:00,"Honeywell lowers sales, profit forecasts after Bombardier agreement",https://finance.yahoo.com/news/honeywell-lowers-sales-profit-forecasts-232252672.html,Reuters
2024-12-16 06:17:00,Honeywell considers spinning off its aerospace business amid Elliott's breakup push,https://finance.yahoo.com/news/honeywell-considers-separation-aerospace-business-111700791.html,Reuters
2024-12-16 11:32:00,Honeywell Weighs Aerospace Split After Elliott Breakup Call,https://finance.yahoo.com/news/honeywell-weighs-aerospace-split-elliott-120503582.html,Bloomberg
2025-01-06 12:34:00,Spinoffs Outperforming the S&P 500 Boost the Case for Breakups,https://finance.yahoo.com/news/spinoffs-outperforming-p-500-boost-173444296.html,Bloomberg
2025-01-13 14:39:00,Honeywell Plans Breakup Under Pressure From Elliott,https://finance.yahoo.com/news/honeywell-plans-breakup-under-pressure-184624445.html,Bloomberg
2025-02-06 05:27:00,Honeywell to split into three independently listed companies in latest corporate breakup,https://finance.yahoo.com/news/honeywell-separate-aerospace-unit-automation-102740348.html,Reuters
2025-02-06 11:03:00,Honeywell to Break Up After Pressure From Activist Elliott,https://finance.yahoo.com/news/honeywell-break-pressure-activist-elliott-144049354.html,Bloomberg
