Date,Title,Link,Source
2024-09-26 12:22:00,Hershey Hit With Sell Call as High Prices Dent Chocolate Sales,https://finance.yahoo.com/news/hershey-hit-sell-call-high-162236342.html,Bloomberg
2024-09-19 17:57:00,Hershey Co lays off some workers this week,https://finance.yahoo.com/news/hershey-co-lays-off-workers-215748318.html,Reuters
2024-09-05 16:00:00,"Hershey attacks lawsuits targeting product packaging, seeks to end Reese's case",https://finance.yahoo.com/news/hershey-attacks-lawsuits-targeting-product-200056304.html,Reuters
2024-08-01 10:54:00,Hershey Cuts Outlook as Shoppers Trim Chocolate Purchases,https://finance.yahoo.com/news/hershey-cuts-outlook-consumers-pull-135033604.html,Bloomberg
2024-12-09 17:46:00,Mondelez Exploring Takeover of US Chocolate Maker Hershey,https://finance.yahoo.com/news/mondelez-exploring-takeover-us-chocolate-155948437.html,Bloomberg
2024-12-10 14:28:00,Mondelezs Takeover of Hershey Would Rank as Top 2024 Deal,https://finance.yahoo.com/news/mondelez-takeover-hershey-rank-top-163511614.html,Bloomberg
2024-12-11 08:46:00,Mondelez Has Plenty of Reasons to Try Again to Buy Hershey,https://finance.yahoo.com/news/mondelez-plenty-reasons-try-buy-110000187.html,Bloomberg
2024-12-11 11:16:00,Hersheys Main Owner Rejects Mondelezs Offer as Too Low,https://finance.yahoo.com/news/hershey-main-owner-rejects-mondelez-153640936.html,Bloomberg
2024-12-11 12:12:00,Mondelez Approves $9 Billion Buyback After Making Hershey Offer,https://finance.yahoo.com/news/mondelez-approves-buyback-raising-doubts-145843064.html,Bloomberg
2025-01-09 11:20:00,Cocoa Jumps as Market Weighs Hershey Ask for Huge Exchange Buy,https://finance.yahoo.com/news/cocoa-jumps-market-weighs-hershey-162022403.html,Bloomberg
2025-01-10 17:53:00,Hershey Seeks New CEO With Michele Buck Departing Next Year,https://finance.yahoo.com/news/hershey-set-announce-ceo-transition-200935535.html,Bloomberg
2025-02-18 16:10:00,Mondelez Sees Chocolate Prices Rising Up to 50% on Cocoa Surge,https://finance.yahoo.com/news/mondelez-sees-chocolate-prices-rising-211039911.html,Bloomberg
2025-03-04 11:27:00,Hershey says ICE cocoa futures market is disconnected from reality,https://finance.yahoo.com/news/hershey-says-ice-cocoa-futures-162734288.html,Reuters
