Date,Title,Link,Source
2024-10-29 16:32:00,Jefferies Seeks to Claw Back Ex-Fund Managers Pay in Fraud Suit,https://finance.yahoo.com/news/jefferies-seeks-claw-back-ex-203202879.html,Bloomberg
2024-10-26 14:44:00,Brookfield Unit Looks to Sell $1.5 Billion of Private Credit,https://finance.yahoo.com/news/brookfield-unit-looks-offload-1-213756558.html,Bloomberg
2024-10-25 10:29:00,Commerzbank Says Jefferies Has More Than 5% of Voting Rights,https://finance.yahoo.com/news/commerzbank-says-jefferies-more-5-104234675.html,Bloomberg
2024-10-24 13:54:00,George Weiss Hedge Fund in Talks With Jefferies to Settle Suit,https://finance.yahoo.com/news/george-weiss-hedge-fund-talks-175428598.html,Bloomberg
2024-10-24 12:36:00,"UniCredit Taps Jefferies for Commerzbank Hedge, Optionality",https://finance.yahoo.com/news/unicredit-taps-jefferies-hedging-optionality-092402155.html,Bloomberg
2024-10-23 12:51:00,"Jefferies, Truist Surge on Competitive Muni Bond Deals",https://finance.yahoo.com/news/jefferies-truist-surge-competitive-muni-165101768.html,Bloomberg
2024-10-11 17:19:00,Ex-Jefferies Fund Manager Hits Back at Despicable Fraud Suit,https://finance.yahoo.com/news/ex-jefferies-fund-manager-hits-211955789.html,Bloomberg
2024-09-30 10:18:00,Jefferies Taps RBCs Chris Allred for Real Estate Dealmaking,https://finance.yahoo.com/news/jefferies-taps-rbc-chris-allred-141832735.html,Bloomberg
2024-09-16 16:00:00,Jefferies Hires Ex-Citigroup Banker for Top EMEA Debt Job,https://finance.yahoo.com/news/jefferies-hires-ex-citigroup-banker-200013392.html,Bloomberg
2024-09-13 18:39:00,Ex-Jefferies Fund Manager Faces Criminal Probe of Alleged Fraud,https://finance.yahoo.com/news/ex-jefferies-fund-manager-faces-223904655.html,Bloomberg
2024-08-30 14:46:00,Vendor Accused by Jefferies of Fraud Faces Forced Bankruptcy,https://finance.yahoo.com/news/vendor-accused-jefferies-fraud-faces-184657657.html,Bloomberg
2024-08-22 16:44:00,Jefferies-Led Bank Group Loses $15 Million Underwriting M2S Loan,https://finance.yahoo.com/news/jefferies-led-bank-group-loses-153510896.html,Bloomberg
2024-08-19 11:14:00,Jefferies-Led Bank Group Sweetens Terms on Loan for Label Maker,https://finance.yahoo.com/news/jefferies-led-bank-group-sweetens-151432911.html,Bloomberg
2024-08-16 16:06:00,George Weiss Alleges Jefferies Threatened to Ruin His Reputation,https://finance.yahoo.com/news/george-weiss-alleges-jefferies-threatened-200628094.html,Bloomberg
