Date,Title,Link,Source
2024-11-03 22:14:00,Australia cancels Lockheed Martin military satellite project,https://finance.yahoo.com/news/australia-cancels-lockheed-martin-military-031437212.html,Reuters
2024-10-22 07:31:00,"Lockheed Martin lifts profit, sales forecasts on strong weapons demand",https://finance.yahoo.com/news/lockheed-martin-lifts-profit-sales-113138821.html,Reuters
2024-10-09 13:50:00,Lockheed names new F-35 fighter jet program leader,https://finance.yahoo.com/news/lockheed-names-f-35-fighter-175037540.html,Reuters
2024-12-02 15:18:00,US State Dept approves possible $1.17 billion sale of helicopter equipment to India,https://finance.yahoo.com/news/us-state-dept-approves-possible-201826299.html,Reuters
2024-12-09 06:03:00,Trump's Musk-led efficiency drive may spur defense-tech partnerships,https://finance.yahoo.com/news/trumps-musk-led-efficiency-drive-110323141.html,Reuters
2024-12-16 11:10:00,Lockheed forms subsidiary to help defense companies adopt AI,https://uk.finance.yahoo.com/news/lockheed-forms-subsidiary-help-defense-161037141.html,Reuters
2025-01-09 06:00:00,Rahm Emanuel Says US Defense Firms Cause Bigger Risks Than China,https://finance.yahoo.com/news/rahm-emanuel-slams-us-defense-234544408.html,Bloomberg
2025-01-28 07:35:00,"Lockheed Martin cautions on 2025 profit view, hindered by F-35 tech upgrade",https://finance.yahoo.com/news/lockheed-martin-cautions-2025-profit-123504234.html,Reuters
2025-02-03 09:52:00,"F-35 Production Still Marred by Quality Woes, Pentagon Test Office Says",https://finance.yahoo.com/m/daafac90-9196-3104-acd2-47f5875f78f8/f-35-production-still-marred.html,Bloomberg
2025-02-04 15:05:00,"US approves potential sale of Lockheed, Northrop Grumman systems to Egypt",https://finance.yahoo.com/m/3ded3527-cf91-3fe2-92e2-3be8b4d15635/us-approves-potential-sale-of.html,Reuters
2025-02-06 18:04:00,Lockheed Martin settles US allegations of defective pricing on F-35 contracts,https://finance.yahoo.com/news/lockheed-martin-settles-us-allegations-230400027.html,Reuters
2025-02-14 06:12:00,India seen seeking global bids this year for 114 fighters,https://finance.yahoo.com/m/6abbcf18-b190-3593-b0c4-cbace9aaca1d/india-seen-seeking-global.html,Reuters
2025-03-03 13:39:00,"Eyeing the Pacific, Lockheed unveils low-cost $150,000 cruise missile",https://finance.yahoo.com/m/ee611216-7c95-3c76-b509-2120d868fef7/eyeing-the-pacific%2C-lockheed.html,Reuters
2025-03-04 17:33:00,"US Navy fighter competition ejects Lockheed, sources say",https://finance.yahoo.com/m/89e06ddf-11e9-3681-b4c3-3e700fd3fd09/us-navy-fighter-competition.html,Reuters
