Date,Title,Link,Source
2024-11-25 19:39:00,Brazil antitrust body rules Apple must lift restrictions on in-app payments,https://finance.yahoo.com/news/brazil-antitrust-body-rules-apple-003917208.html,Reuters
2024-11-07 16:22:00,MercadoLibre Loses $17 Billion of Market Value on Profit Miss,https://finance.yahoo.com/news/mercadolibre-provisions-dent-profits-credit-210836615.html,Bloomberg
2024-11-06 16:10:00,"MercadoLibre misses third-quarter profit expectations on logistics, credit costs",https://finance.yahoo.com/news/mercadolibre-misses-third-quarter-profit-211004740.html,Reuters
2024-10-31 16:09:00,MercadoLibre Wins First Investment-Grade Rating With Fitch Upgrade,https://finance.yahoo.com/news/mercadolibre-upgraded-fitch-winning-first-200931507.html,Bloomberg
2024-10-29 12:55:00,Mileis Revamp Offers CEOs a Hint of Optimism on Argentina,https://finance.yahoo.com/news/milei-revamp-offers-ceos-glimmer-110000644.html,Bloomberg
2024-10-09 11:34:00,MercadoLibre Posts Record Argentina Sales Amid Consumer Rebound,https://finance.yahoo.com/news/mercadolibre-posts-record-argentina-sales-153455333.html,Bloomberg
2024-12-10 07:00:00,MercadoLibre Races Into Fintech Turf War With Rival Nubank,https://finance.yahoo.com/news/mercadolibre-races-fintech-turf-war-120000961.html,Bloomberg
2025-01-07 13:55:00,"Amazon, MercadoLibre to benefit from Mexico import tariffs, Itau BBA says",https://finance.yahoo.com/news/amazon-mercadolibre-benefit-mexico-import-185554711.html,Reuters
2025-02-20 16:09:00,MercadoLibre's fourth-quarter net profit beats forecast,https://finance.yahoo.com/news/mercadolibres-fourth-quarter-net-profit-210903779.html,Reuters
2025-02-20 16:51:00,MercadoLibre Shares Rally After Record Quarter of Profit,https://finance.yahoo.com/news/mercadolibre-shares-rally-record-quarter-215123339.html,Bloomberg
2025-02-21 09:47:00,MercadoLibre Shares Surge to Record High on Strong Earnings,https://finance.yahoo.com/news/mercadolibre-shares-rally-record-quarter-215123339.html,Bloomberg
2025-03-07 09:29:00,MercadoLibre plans $3.4 billion Mexico investment in 2025,https://finance.yahoo.com/news/mercado-libre-says-invest-3-142935379.html,Reuters
