Date,Title,Link,Source
2024-11-14 14:10:00,US says MetLife unit reached settlement over Iran sanctions violations,https://finance.yahoo.com/news/us-treasury-department-says-metlife-191042994.html,Reuters
2024-10-30 17:54:00,MetLife profit falls on group benefits business weakness,https://finance.yahoo.com/news/metlife-profit-falls-group-benefits-215433408.html,Reuters
2024-10-21 10:20:00,MetLife Said to Be in Talks to Buy Tycoon Lis PineBridge Assets Outside of China,https://finance.yahoo.com/news/metlife-said-talks-buy-tycoon-045833138.html,Bloomberg
2024-10-21 02:02:00,"MetLife in talks to buy PineBridge's ex-China assets for $1 billion-$1.5 billion, Bloomberg News reports",https://finance.yahoo.com/news/metlife-talks-buy-pinebridges-ex-060239344.html,Reuters
2024-07-31 18:07:00,MetLife posts Q2 profit beat on group benefits unit strength,https://finance.yahoo.com/news/metlife-posts-q2-profit-beat-220724457.html,Reuters
2024-12-11 07:35:00,"MetLife, General Atlantic to launch reinsurance venture",https://finance.yahoo.com/news/metlife-general-atlantic-launch-reinsurance-123521049.html,Reuters
2024-12-12 07:59:00,MetLife targets double-digit earnings per share gains in new growth plan,https://finance.yahoo.com/news/metlife-targets-double-digit-earnings-125946863.html,Reuters
2024-12-12 13:47:00,MetLife Weighs Private Credit M&A to Bolster Earnings Growth,https://finance.yahoo.com/news/metlife-weighs-private-credit-m-184705088.html,Bloomberg
2024-12-23 08:46:00,MetLife expands asset management arm with up to $1.2 billion deal for PineBridge,https://finance.yahoo.com/news/us-insurer-metlife-acquires-pinebridge-134614675.html,Reuters
2024-12-23 10:37:00,MetLife to Buy Lis PineBridge in Asset Management Push,https://finance.yahoo.com/news/metlife-said-near-deal-buy-124719437.html,Bloomberg
