Date,Title,Link,Source
2024-11-20 13:31:00,News Corp says investors reject proposal to end dual class voting structure,https://finance.yahoo.com/news/news-corp-says-investors-reject-183144743.html,Reuters
2024-11-19 12:44:00,Microsoft Signs AI-Learning Deal With News Corp.s HarperCollins,https://finance.yahoo.com/news/microsoft-signs-ai-learning-deal-174406110.html,Bloomberg
2024-11-07 16:16:00,"News Corp beats quarterly estimates, announces CFO change",https://finance.yahoo.com/news/news-corp-beats-quarterly-revenue-211650457.html,Reuters
2024-11-05 09:24:00,News Corp shareholders urged to end dual-class voting structure by more firms,https://finance.yahoo.com/news/glass-lewis-urges-news-corp-142442863.html,Reuters
2024-09-23 17:58:00,Judge concludes hearing to determine fate of Murdoch media empire,https://finance.yahoo.com/news/judge-concludes-hearing-determine-fate-215827394.html,Reuters
2024-09-16 06:01:00,"Murdoch succession drama plays out in closed court in Reno, Nevada",https://finance.yahoo.com/news/murdoch-succession-drama-plays-closed-100136758.html,Reuters
2024-09-12 01:03:00,Murdoch succession battle to play out in Nevada courtroom,https://finance.yahoo.com/news/murdoch-succession-battle-play-nevada-050309194.html,Reuters
2024-09-10 14:55:00,Murdoch Courtroom Fight to Be a Verdict on Lachlans Leadership,https://finance.yahoo.com/news/murdoch-courtroom-fight-verdict-lachlan-185518284.html,Bloomberg
2024-09-10 14:41:00,"News Corp would have lost $9 million in 2017 by ditching Google ads, ex-exec testifies",https://ca.finance.yahoo.com/news/news-corp-lose-9-million-184138264.html,Reuters
2024-09-09 08:44:00,Starboard proposes that News Corp eliminates dual-class shares,https://finance.yahoo.com/news/starboard-proposes-eliminate-news-corps-124406878.html,Reuters
2024-09-06 14:43:00,"Starboard files proposal at News Corp, seeks to break Murdoch's grip",https://finance.yahoo.com/news/exclusive-starboard-files-proposal-news-184354513.html,Reuters
2024-08-08 18:49:00,News Corp considers selling Australia pay TV and streaming unit,https://finance.yahoo.com/news/australian-tv-company-foxtel-put-224913190.html,Reuters
2024-12-22 18:17:00,Rupert Murdoch's News Corp to sell Foxtel to Britain's DAZN for $2.1 billion,https://finance.yahoo.com/news/murdochs-news-corp-sell-foxtel-231754844.html,Reuters
2024-12-22 19:16:00,News Corp. Sells Foxtel Unit to DAZN in $2.1 Billion Deal,https://finance.yahoo.com/news/news-corp-agrees-sell-foxtel-231614669.html,Bloomberg
2024-12-23 12:37:00,Murdochs News Corp. Sells Foxtel Unit to DAZN in $2.1 Billion Deal,https://finance.yahoo.com/news/news-corp-agrees-sell-foxtel-231614669.html,Bloomberg
