Date,Title,Link,Source
2024-11-13 12:04:00,California's only nuclear plant to use AI to help comply with new licensing challenges,https://finance.yahoo.com/news/californias-only-nuclear-plant-ai-170437416.html,Reuters
2024-11-06 02:42:00,PG&E Cuts Power to California Customers As Wildfire Risk Builds,https://finance.yahoo.com/news/pg-e-cuts-power-california-074243078.html,Bloomberg
2024-10-17 18:17:00,"California Blackouts Begin for 5,400 Customers on Fire Threats",https://finance.yahoo.com/news/california-blackouts-begin-5-400-221715712.html,Bloomberg
2024-09-30 16:09:00,Californian utility PG&E shuts power for customers over wildfire risks,https://finance.yahoo.com/news/californian-utility-pg-e-shuts-200931255.html,Reuters
2024-07-25 08:14:00,Power company PG&E beats second-quarter profit estimates on higher rates,https://finance.yahoo.com/news/power-company-pg-e-beats-121450451.html,Reuters
2024-07-02 17:27:00,"PG&E Cuts Power to 2,000 as Extreme Heat Bakes California",https://finance.yahoo.com/news/pg-e-cuts-power-2-160602295.html,Bloomberg
2024-12-02 12:28:00,PG&E shares fall after launching $2.4 billion equity capital raise,https://finance.yahoo.com/news/pg-e-shares-fall-launching-172834304.html,Reuters
2024-12-17 05:38:00,US offers California's PG&E record $15 billion loan to bolster power grid,https://finance.yahoo.com/news/us-agrees-15-billion-loan-103816645.html,Reuters
2024-12-18 08:28:00,PG&E Sees $15 Billion Biden Loan Offer Closing in Couple Weeks,https://finance.yahoo.com/news/pg-e-sees-15-billion-132808671.html,Bloomberg
2024-12-20 18:15:00,"US Loans to Rivian, Plug Under Threat From Federal Shutdown",https://finance.yahoo.com/news/us-loans-rivian-plug-under-182908537.html,Bloomberg
2025-01-18 11:30:00,LA Fires Reveal Limits of Californias $21 Billion Utility Fund,https://finance.yahoo.com/news/la-fires-reveal-limits-california-163000382.html,Bloomberg
2025-01-23 19:04:00,"New California Wildfires Force Evacuations, as Rain Nears",https://finance.yahoo.com/news/california-firefighters-face-more-winds-130842943.html,Bloomberg
2025-01-23 23:10:00,Fire Crews Battle New California Blazes as Rain Relief Nears,https://finance.yahoo.com/news/california-firefighters-face-more-winds-130842943.html,Bloomberg
