Date,Title,Link,Source
2024-11-25 09:40:00,BridgeBio Soars After Drug Gets Nod in Rare Heart Condition,https://finance.yahoo.com/news/bridgebio-soars-drug-gets-nod-144022155.html,Bloomberg
2024-11-20 06:27:00,Pfizer names oncology head Chris Boshoff as R&D chief,https://finance.yahoo.com/news/pfizer-names-chris-boshoff-r-112726367.html,Reuters
2024-11-19 17:05:00,"Pfizer cannot recoup $75 million from SEC insider trading settlement, judge rules",https://finance.yahoo.com/news/pfizer-loses-bid-recoup-75-220536831.html,Reuters
2024-11-12 09:47:00,"Exclusive-Pfizer explores sale of hospital drugs unit, sources say",https://finance.yahoo.com/news/exclusive-pfizer-explores-sale-hospital-144728888.html,Reuters
2024-12-11 12:23:00,Health execs reckon with patient outrage after UnitedHealthcare killing,https://finance.yahoo.com/news/health-care-execs-seek-better-172306478.html,Reuters
2024-12-11 12:23:00,Health care execs seek to better understand patient outrage after UnitedHealthcare killing,https://finance.yahoo.com/m/d8a3f68b-d79b-3d28-9e76-c0541c029f39/health-care-execs-seek-to.html,Reuters
2024-12-17 06:56:00,Pfizer 2025 profit forecast soothes investor jitters as it pursues turnaround,https://finance.yahoo.com/news/pfizer-forecasts-2025-profit-line-115643925.html,Reuters
2024-12-17 10:41:00,Pfizers In-Line Guidance Offers Relief to Weary Investors,https://finance.yahoo.com/news/pfizer-line-guidance-offers-relief-121344129.html,Bloomberg
2024-12-27 07:53:00,"BioNTech enters settlement with US agency, UPenn over COVID vaccine royalties",https://finance.yahoo.com/news/biontech-enters-settlement-us-agency-125333042.html,Reuters
2024-12-30 17:31:00,Sangamo Plunges After Pfizer Ends Pact for Hemophilia Treatment,https://finance.yahoo.com/news/sangamo-plunges-pfizer-ends-pact-223120122.html,Bloomberg
2024-12-31 07:05:00,Drugmakers to raise US prices on over 250 medicines starting Jan. 1,https://finance.yahoo.com/news/drugmakers-raise-us-prices-over-120529214.html,Reuters
2024-12-31 09:55:00,Sangamo Plunges After Pfizer Ends Pact for Hemophilia Drug,https://finance.yahoo.com/news/sangamo-plunges-pfizer-ends-pact-223120122.html,Bloomberg
2025-01-10 13:15:00,"Pfizer must face lawsuit over diversity fellowship program, US court rules",https://finance.yahoo.com/news/pfizer-must-face-lawsuit-over-181535024.html,Reuters
2025-01-13 13:35:00,"Pfizer going 'all in' on obesity drug development, CEO Bourla says",https://finance.yahoo.com/news/pfizer-going-obesity-drug-development-183525075.html,Reuters
2025-01-24 17:55:00,Pfizer to pay $59.7 million over kickbacks for migraine drug,https://finance.yahoo.com/news/pfizer-pay-59-7-million-225506206.html,Reuters
2025-01-31 17:24:00,Pfizer resolves conservative challenge to diversity fellowship program,https://finance.yahoo.com/news/pfizer-resolves-conservative-challenge-diversity-222452617.html,Reuters
2025-02-03 06:03:00,Smaller US winter COVID wave adds pressure to Pfizer turnaround,https://finance.yahoo.com/news/smaller-us-winter-covid-wave-110316157.html,Reuters
2025-02-04 06:53:00,"Pfizer beats profit estimates on cost cuts, COVID vaccine sales",https://finance.yahoo.com/news/pfizer-beats-fourth-quarter-profit-115327840.html,Reuters
