Date,Title,Link,Source
2024-10-22 08:19:00,Philip Morris shares soar on strong third quarter,https://finance.yahoo.com/news/philip-morris-raises-annual-profit-121949830.html,Reuters
2024-10-18 04:42:00,Big Tobacco nears $24 billion settlement to end Canada lawsuits,https://finance.yahoo.com/news/big-tobacco-proposes-nearly-24-084205063.html,Reuters
2024-09-17 09:21:00,Philip Morris to sell Vectura for $198 million after health shift criticism,https://finance.yahoo.com/news/philip-morris-sell-stake-pharma-132129782.html,Reuters
2024-08-27 08:43:00,Philip Morris to invest $232 million to expand ZYN production at Kentucky plant,https://finance.yahoo.com/news/philip-morris-invest-232-million-124332186.html,Reuters
2024-12-13 10:22:00,Philip Morris to pay $1.2 million to settle probe into flavored tobacco ban violation,https://finance.yahoo.com/news/philip-morris-pay-1-2-152241476.html,Reuters
2025-02-06 08:05:00,Philip Morris' shares rise on optimistic 2025 outlook,https://finance.yahoo.com/news/philip-morris-international-beats-earnings-130528737.html,Reuters
2025-03-02 17:19:00,Philip Morris Weighs Cigar Sale Amid Smoke-Free Shift,https://finance.yahoo.com/news/philip-morris-weighs-cigar-sale-221931822.html,Bloomberg
2025-03-03 03:07:00,Philip Morris Weighs Cigar Sale Amid Smoke-Free Shift,https://finance.yahoo.com/news/philip-morris-weighs-cigar-sale-221931822.html,Bloomberg
2025-03-03 17:46:00,Asian Stocks to Decline as Tariffs Spark US Rout: Markets Wrap,https://finance.yahoo.com/news/asian-stocks-decline-tariffs-spark-224603908.html,Bloomberg
2025-03-07 10:48:00,Canada court approves $23 billion settlement to end Big Tobacco lawsuits,https://finance.yahoo.com/news/canada-court-approves-23-billion-154839432.html,Reuters
