Date,Title,Link,Source
2024-11-06 17:24:00,Ansys beats profit expectations on strong demand for engineering software,https://finance.yahoo.com/news/ansys-beats-profit-expectations-strong-222428719.html,Reuters
2024-10-25 08:37:00,Synopsys $34 Billion Ansys Deal Gets UK Antitrust Scrutiny,https://finance.yahoo.com/news/synopsys-34-billion-ansys-deal-123719156.html,Bloomberg
2024-08-21 17:56:00,Synopsys expects upbeat Q4 on firm demand for chip design software,https://finance.yahoo.com/news/synopsys-expects-upbeat-q4-firm-215653988.html,Reuters
2024-08-12 07:54:00,Synopsys' $35 billion Ansys deal under UK regulator scrutiny,https://finance.yahoo.com/news/synopsys-35-billion-ansys-deal-115426679.html,Reuters
2024-07-22 17:38:00,Chip design software firm Cadence forecasts third-quarter results below estimates,https://finance.yahoo.com/news/chip-design-software-firm-cadence-213837302.html,Reuters
2024-12-04 17:52:00,Synopsys shares fall after sales outlook misses estimates,https://finance.yahoo.com/news/synopsys-shares-fall-sales-outlook-225250356.html,Reuters
2024-12-10 06:09:00,Synopsys offers remedies to address EU concerns over Ansys deal,https://finance.yahoo.com/news/synopsys-offers-remedies-address-eu-110902098.html,Reuters
2024-12-11 10:45:00,"Synopsys offers to sell two assets in bid for EU okay for $35 billion Ansys deal, sources say",https://finance.yahoo.com/news/synopsys-offers-sell-two-assets-154558237.html,Reuters
2024-12-17 09:04:00,"Synopsys, SiMa.ai team up to speed development of AI chips for cars",https://finance.yahoo.com/m/b8ded54f-7704-3581-85e5-db434f6095bc/synopsys%2C-sima.ai-team-up-to.html,Reuters
2024-12-20 06:12:00,UK watchdog says $35 billion Synopsys-Ansys deal raises competition concerns,https://finance.yahoo.com/news/uk-regulator-says-could-clear-111203784.html,Reuters
2024-12-23 10:06:00,"Exclusive-Synopsys' $35 billion Ansys acquisition to be approved in EU, sources say",https://finance.yahoo.com/news/exclusive-eu-antitrust-regulators-set-150639167.html,Reuters
2025-01-10 12:53:00,EU approves Synopsys' $35 billion Ansys deal under conditions,https://finance.yahoo.com/news/eu-approves-synopsys-35-billion-175308123.html,Reuters
2025-02-26 17:17:00,"Synopsys revenue forecast beats estimates on AI chip boom, shares up",https://finance.yahoo.com/news/synopsys-quarterly-revenue-forecast-beats-221718183.html,Reuters
2025-02-28 15:29:00,Synopsys Preparing Around $10 Billion Bond Deal for Next Week,https://finance.yahoo.com/news/synopsys-preparing-around-10-billion-202934043.html,Bloomberg
2025-02-28 17:43:00,"Synopsys prepares about $10 billion bond sale to finance Ansys deal, Bloomberg News reports",https://finance.yahoo.com/news/synopsys-prepares-10-billion-bond-224321306.html,Reuters
2025-03-05 04:45:00,UK competition regulator clears $35 billion Synopsys-Ansys deal,https://finance.yahoo.com/news/uk-competition-regulator-clears-35-094552466.html,Reuters
