Date,Title,Link,Source
2024-11-14 11:58:00,"Capri, Tapestry Scrap Merger After FTC Blocked Deal",https://finance.yahoo.com/news/capri-tapestry-scrap-merger-ftc-142711681.html,Bloomberg
2024-11-14 08:49:00,Tapestry Is Buying Back Bonds Issued to Fund Capri Purchase,https://finance.yahoo.com/news/tapestry-buying-back-bonds-issued-130024418.html,Bloomberg
2024-11-14 06:51:00,Coach parent Tapestry pulls $8.5 billion bid for Capri after FTC roadblock,https://finance.yahoo.com/news/coach-parent-tapestry-terminates-8-115150076.html,Reuters
2024-11-07 06:52:00,Coach parent Tapestry pauses Capri integration plans amid appeal to lift block,https://finance.yahoo.com/news/tapestry-raises-annual-earnings-target-115244908.html,Reuters
2024-11-01 07:07:00,Millennium to Part Ways With Merger-Arb Portfolio Manager Pujade,https://finance.yahoo.com/news/millennium-part-ways-merger-arb-110706644.html,Bloomberg
2024-10-25 09:47:00,Capri Sinks After FTC Wins Halt to $8.5 Billion Tapestry Tie-Up,https://finance.yahoo.com/news/tapestry-8-5-billion-capri-202318423.html,Bloomberg
2024-10-25 06:07:00,Capri tumbles 46% after US court blocks $8.5 billion merger with Tapestry,https://finance.yahoo.com/news/capri-shares-tumble-46-us-100748643.html,Reuters
2024-12-04 14:40:00,Coach Owner Kicks Off Bond Sale to Repay Loans After Scrapped Deal,https://finance.yahoo.com/news/coach-owner-kicks-off-bond-144605453.html,Bloomberg
2024-12-11 14:24:00,Kroger Joins Line to Buy Back Debt After Albertsons Deal Fails,https://finance.yahoo.com/news/kroger-joins-line-buy-back-192427942.html,Bloomberg
2025-01-23 16:35:00,Einhorn Doubles Down on Handbag Maker Capri After Takeover Deal Scuttled,https://finance.yahoo.com/news/billionaire-einhorn-bets-anew-capri-213513568.html,Bloomberg
2025-02-06 07:50:00,Tapestry shares soar as demand for Tabby bags drives upbeat forecast,https://finance.yahoo.com/news/tapestry-raises-annual-forecasts-steady-125002398.html,Reuters
2025-02-06 09:49:00,Tapestry Jumps Most Since 2020 as Coach Drives Outlook Boost,https://finance.yahoo.com/news/tapestry-boosts-annual-outlook-coach-121744147.html,Bloomberg
2025-02-19 07:13:00,Coach parent Tapestry to sell Stuart Weitzman footwear brand for $105 million,https://finance.yahoo.com/news/coach-parent-tapestry-sell-stuart-121326973.html,Reuters
