Date,Title,Link,Source
2024-11-19 13:30:00,United Airlines $1 Billion Junk Muni Deal Offers a Bond Bargain,https://finance.yahoo.com/news/united-airlines-1-billion-junk-183048353.html,Bloomberg
2024-11-04 09:33:00,United Eyes Record Year as Traders Pile Back Into Airline Stocks,https://finance.yahoo.com/news/united-eyes-record-traders-pile-143313700.html,Bloomberg
2024-10-16 14:08:00,United Jumps on Optimism Airline Profits Are Set to Improve,https://finance.yahoo.com/news/united-jumps-optimism-airline-profits-180857251.html,Bloomberg
2024-10-15 16:09:00,"United Airlines sees stronger profit, unveils $1.5 billion share buyback program",https://finance.yahoo.com/news/united-airlines-forecasts-stronger-fourth-200941815.html,Reuters
2024-11-26 18:15:00,United says FAA staffing shortages causing significant disruption at Newark hub,https://finance.yahoo.com/news/united-says-faa-staffing-shortages-231512804.html,Reuters
2024-12-27 06:00:00,Airlines Stocks Beat Market by Most in a Decade as Travel Booms,https://finance.yahoo.com/news/airlines-stocks-beat-market-most-110000446.html,Bloomberg
2025-01-05 08:36:00,United Airlines to bring Musk's Starlink on flights by spring,https://finance.yahoo.com/news/united-airlines-bring-musks-starlink-133603645.html,Reuters
2025-01-07 08:30:00,Mesa Air to sell 18 Embraer jets to United Airlines,https://finance.yahoo.com/news/mesa-air-sell-18-embraer-133042170.html,Reuters
2025-01-15 10:24:00,Teamsters says negotiations with United Airlines to resume this week,https://finance.yahoo.com/news/teamsters-says-negotiations-united-airlines-152434341.html,Reuters
2025-01-17 17:49:00,United Airlines donates $1 million to Trump inaugural fund,https://finance.yahoo.com/news/united-airlines-donates-1-million-224907143.html,Reuters
2025-01-21 16:10:00,United Airlines offers an upbeat outlook on improved pricing power,https://finance.yahoo.com/news/united-airlines-sees-stronger-quarterly-211035980.html,Reuters
2025-01-22 17:17:00,United Airlines CEO calls pullback in domestic seats a durable trend,https://finance.yahoo.com/news/united-airlines-ceo-calls-pullback-221704888.html,Reuters
2025-01-27 18:43:00,US opens probe into sudden movement on United Airlines flight from Nigeria,https://finance.yahoo.com/m/65405924-7579-304f-a55a-8938c59d2701/us-opens-probe-into-sudden.html,Reuters
