Date,Title,Link,Source
2024-11-22 10:24:00,UPS to Pay $45 Million SEC Penalty Over Improper Valuation,https://finance.yahoo.com/news/ups-hit-45-million-penalty-144424675.html,Bloomberg
2024-11-22 09:21:00,"UPS to pay $45 million penalty for improperly valuing business unit, SEC says",https://finance.yahoo.com/news/ups-pay-45-million-penalty-142148666.html,Reuters
2024-10-24 09:33:00,UPS Shares Jump on First Profit Growth in Nearly Two Years,https://finance.yahoo.com/news/ups-shares-jump-first-profit-133358450.html,Bloomberg
2024-10-24 06:10:00,UPS tops quarterly profit estimates on rebounding volumes; shares jump,https://finance.yahoo.com/news/ups-reports-rise-third-quarter-101031360.html,Reuters
2024-10-23 06:07:00,UPS seen grappling with hit from cheap deliveries ahead of key holiday season,https://finance.yahoo.com/news/ups-seen-grappling-hit-cheap-100747522.html,Reuters
2024-10-21 16:28:00,"UPS Gets Rare Sell Call on Rising Competition From Amazon, FedEx",https://finance.yahoo.com/news/ups-gets-rare-sell-call-150050835.html,Bloomberg
2024-12-02 06:03:00,"Weather permitting, UPS, FedEx poised for on-time US holiday gift deliveries",https://finance.yahoo.com/news/weather-permitting-ups-fedex-poised-110352396.html,Reuters
2024-12-13 06:08:00,"Trump tariffs could intensify US trucking industry slump, experts say",https://finance.yahoo.com/news/trump-tariffs-could-intensify-us-110809676.html,Reuters
2025-01-30 06:06:00,UPS says 2025 revenue to slide on fewer Amazon deliveries; shares drop,https://finance.yahoo.com/news/ups-forecasts-2025-revenue-below-110647104.html,Reuters
2025-01-30 11:14:00,UPS Shares Plunge on Plan to Slash Amazon Business By Half,https://finance.yahoo.com/news/ups-shares-plunge-plan-slash-143438276.html,Bloomberg
2025-01-31 09:38:00,UPS Breaks With Amazon to Take Control of Own Destiny,https://finance.yahoo.com/news/ups-breaks-amazon-control-own-110000128.html,Bloomberg
2025-01-31 13:59:00,Control of Our Destiny: UPS Braves Blowback Over Amazon Break,https://finance.yahoo.com/news/ups-breaks-amazon-control-own-110000151.html,Bloomberg
