Date,Title,Link,Source
2024-11-25 06:05:00,Guyana's pick of US startup faces hurdles to tap vast gas reserves,https://finance.yahoo.com/news/guyanas-pick-us-startup-faces-110506573.html,Reuters
2024-11-21 15:28:00,"Exxon group pulls out of talks with Guyana over shallow water oil block, government says",https://finance.yahoo.com/news/exxon-mobil-pulls-talks-guyana-202820255.html,Reuters
2024-11-21 08:11:00,Exxon goes forward with $200-million expansion of Texas plants,https://finance.yahoo.com/news/exxon-under-fire-over-plastic-131156933.html,Reuters
2024-11-20 06:03:00,Exxon Mobil signs non-binding lithium supply deal with LG Chem,https://finance.yahoo.com/news/exxon-mobil-signs-non-binding-110343615.html,Reuters
2024-11-20 06:00:00,Exxon Signs Deal to Supply Lithium to Battery Maker LG Chem,https://finance.yahoo.com/news/exxon-signs-deal-supply-lithium-110000341.html,Bloomberg
2024-11-18 06:07:00,Oil Trader Faces Suit Over Company Hit by US-Iran Sanctions,https://finance.yahoo.com/news/oil-trader-faces-lawsuit-over-050100553.html,Bloomberg
2024-11-14 09:55:00,"Exxon Mobil to cut nearly 400 jobs in Texas, filing says",https://finance.yahoo.com/news/exxon-mobil-cut-nearly-400-145551300.html,Reuters
2024-11-12 15:11:00,Oil Holds Near November Lows as Traders Brace for Crude Glut,https://finance.yahoo.com/news/oil-holds-biggest-drop-two-001035488.html,Bloomberg
2024-11-12 05:35:00,Exxon CEO Pushes Back on Trumps Anti-Climate Change Agenda,https://finance.yahoo.com/news/exxon-ceo-pushes-back-trump-103504971.html,Bloomberg
2024-11-05 03:53:00,Saudi Aramco Keeps Worlds Biggest Dividend as Debt Jumps,https://finance.yahoo.com/news/aramco-keeps-world-biggest-payout-054755302.html,Bloomberg
2024-11-01 18:09:00,Big Oil Dials Up Output Growth Just as OPEC Mulls Supply Boost,https://finance.yahoo.com/news/big-oil-dials-output-growth-220953426.html,Bloomberg
2024-11-01 14:28:00,"Exxon, Chevron Beat Estimates on Permian Oil-Supply Boost",https://finance.yahoo.com/news/exxon-chevron-beat-estimates-higher-105615093.html,Bloomberg
2024-11-01 11:49:00,Exxon Cuts European Refining Capacity With French Plant Sale,https://finance.yahoo.com/news/exxon-cuts-european-refining-capacity-101822289.html,Bloomberg
2024-11-01 10:32:00,"Exxon, Chevron top Q3 profit expectations as US oil output hits record high",https://finance.yahoo.com/news/exxon-chevron-top-q3-profit-143242235.html,Reuters
2024-11-26 13:01:00,"Drill, Baby, Drill Is Unlikely Under Trump, Exxon Says",https://finance.yahoo.com/news/drill-baby-drill-unlikely-under-103716053.html,Bloomberg
2024-11-26 05:28:00,"US oil firms unlikely to go 'drill, baby, drill' under Trump, says Exxon executive",https://finance.yahoo.com/news/us-oil-producers-unlikely-shift-102852304.html,Reuters
2024-11-27 12:02:00,"Exclusive-Exxon lobbyist investigated over hack-and-leak of environmentalist emails, sources say",https://finance.yahoo.com/news/exclusive-exxon-lobbyist-investigated-over-170240002.html,Reuters
2024-11-27 16:25:00,US labor board judge rules Exxon's Texas refinery union lockout was legal,https://finance.yahoo.com/news/us-labor-board-judge-rules-212509841.html,Reuters
2024-12-02 19:48:00,"Exxon talks continue on shallow-water block in Guyana auction, company says",https://finance.yahoo.com/news/exxon-talks-continue-shallow-water-004824983.html,Reuters
2024-12-03 01:06:00,"Exxon weighs sale of Singapore fuel stations for $1 billion, Bloomberg News reports",https://finance.yahoo.com/news/exxon-weighs-sale-singapore-fuel-060651170.html,Reuters
2024-12-03 03:09:00,Exxon Is Said to Weigh Sale of $1 Billion Singapore Stations,https://finance.yahoo.com/news/exxon-said-weigh-sale-1-080924335.html,Bloomberg
2024-12-03 13:06:00,Exxon names former GM president to run oil and gas business,https://finance.yahoo.com/news/exxon-names-former-gm-president-180651359.html,Reuters
2024-12-03 15:27:00,"Oil Rises on Iran Crude Sanctions, OPEC+ Output Deal Progress",https://finance.yahoo.com/news/oil-stays-tight-range-opec-233654169.html,Bloomberg
2024-12-06 09:40:00,Chevron Slows Permian Growth in Hurdle to Trump Oil Plan,https://finance.yahoo.com/news/chevron-slows-permian-growth-latest-211547060.html,Bloomberg
2024-12-11 09:49:00,Exxon Raises Capital Spending as Worldwide Oil Glut Looms,https://finance.yahoo.com/news/exxon-raises-capital-spending-worldwide-122700385.html,Bloomberg
2024-12-11 10:55:00,Exxon Is Exploring Low-Carbon Power Supplies for Data Centers,https://finance.yahoo.com/news/exxon-exploring-low-carbon-power-155522741.html,Bloomberg
2024-12-11 12:26:00,"Exxon wants to extract its value from Hess Guyana assets, CEO says",https://finance.yahoo.com/news/exxon-wants-extract-value-hess-172646401.html,Reuters
2024-12-11 15:06:00,Exxon Mobil corp to raise capital spending,https://finance.yahoo.com/video/exxon-mobil-corp-raise-capital-200646367.html,Bloomberg
2024-12-12 06:12:00,"US senators, green groups call for accountability over hacking of Exxon critics",https://finance.yahoo.com/m/3e78b0c3-4fa5-3b67-985c-12d287e7274a/us-senators%2C-green-groups.html,Reuters
2024-12-13 09:03:00,"Oil Set for Weekly Jump on Russian Air Strike, Sanctions Outlook",https://finance.yahoo.com/m/5f795e98-f5df-341f-87ea-043624ea3934/oil-set-for-weekly-jump-on.html,Bloomberg
2024-12-13 12:40:00,House Committee Says It Finds Proof of Climate Cartel,https://finance.yahoo.com/news/house-panel-says-finds-proof-161207859.html,Bloomberg
2024-12-13 15:38:00,"Oil Rises as Possible Iran, Russia Sanctions Temper Glut Outlook",https://finance.yahoo.com/news/oil-set-weekly-gain-sanctions-000511445.html,Bloomberg
2024-12-14 05:46:00,House Committee Says It Finds Evidence of Climate Cartel,https://finance.yahoo.com/news/house-panel-says-finds-proof-161207859.html,Bloomberg
2024-12-16 18:38:00,Australia takes Exxon's local petrol brand to court over false fuel representations,https://finance.yahoo.com/news/australia-takes-exxons-local-petrol-233805513.html,Reuters
2024-12-31 14:09:00,"Guyana Wont Ask Exxon to Renegotiate Contract, President Says",https://finance.yahoo.com/news/guyana-won-t-ask-exxon-190935874.html,Bloomberg
2024-12-31 20:21:00,Citgo Bidding Opened to Others to Try to Top Elliott Firm,https://finance.yahoo.com/news/citgo-bidding-opened-others-try-012139073.html,Bloomberg
2025-01-06 17:45:00,"Exxon sues California AG, environmental groups over attacks on recycling efforts",https://finance.yahoo.com/news/exxon-mobil-sues-california-attorney-224500218.html,Reuters
2025-01-07 14:06:00,"John Hess Very Confident of Winning Exxon Case, Chevron Merger",https://finance.yahoo.com/news/john-hess-very-confident-winning-190600433.html,Bloomberg
2025-01-07 15:28:00,"Exxon Sues California AG, Environmental Groups Over Smear",https://finance.yahoo.com/news/exxon-sues-california-ag-environmental-202843234.html,Bloomberg
2025-01-07 16:56:00,Exxon signals weaker performance across the board to hurt Q4 profits,https://finance.yahoo.com/news/exxon-mobil-expects-fourth-quarter-215630278.html,Reuters
2025-01-07 17:21:00,Exxon Predicts $700 Million Hit to Profit From Lower Oil Prices,https://finance.yahoo.com/news/exxon-predicts-700-million-hit-222155387.html,Bloomberg
2025-01-10 08:39:00,Canada's Imperial Oil says senior executive to leave for Exxon Mobil,https://finance.yahoo.com/news/canadas-imperial-oil-says-senior-133946792.html,Reuters
2025-01-21 17:03:00,Ex-Pioneer CEO sues FTC for banning him from Exxon board,https://finance.yahoo.com/news/ex-pioneer-ceo-sues-ftc-220359278.html,Reuters
2025-01-22 12:48:00,Trump's climate withdrawal creates rare discord with Big Oil,https://finance.yahoo.com/m/fbfa85fa-5e3d-3de1-891d-c9ff0a145a87/trump%27s-climate-withdrawal.html,Reuters
2025-01-27 06:02:00,Big Oil in no rush to 'drill baby drill' this year despite Trump agenda,https://finance.yahoo.com/news/big-oil-no-rush-drill-110244120.html,Reuters
2025-01-31 06:15:00,Chevron lifts dividend after profit disappoints on oil slump,https://finance.yahoo.com/news/chevron-lifts-dividend-profit-disappoints-111511792.html,Bloomberg
2025-01-31 06:32:00,"Exxon beats Q4 estimates with higher Permian, Guyana output",https://finance.yahoo.com/news/exxon-beats-q4-estimates-higher-113254539.html,Reuters
