Date,Title,Link,Source,% Change,hits
2024-11-22 13:12:00,Netflix set for biggest weekly gain since January after Paul-Tyson fight,https://finance.yahoo.com/news/netflix-set-biggest-weekly-gain-181208228.html,Reuters,0.03,
2024-11-16 19:05:00,Netflix says 60 million households worldwide tuned in for Paul-Tyson match,https://finance.yahoo.com/news/netflix-says-50-million-households-000557890.html,Reuters,,
2024-11-15 21:28:00,"Netflix back up for most users in US after outage, Downdetector shows",https://finance.yahoo.com/news/netflix-down-thousands-users-us-022827311.html,Reuters,-1.59,
2024-11-14 21:58:00,Netflix hopes for live sports knockout with Paul-Tyson fight,https://finance.yahoo.com/news/netflix-hopes-live-sports-knockout-025804687.html,Reuters,0.82,
2024-11-14 06:00:00,Squid Game Returns in Test of Netflix Global Marketing Muscle,https://finance.yahoo.com/news/squid-game-returns-test-netflix-110019257.html,Bloomberg,0.82,
2024-11-12 09:02:00,Netflix's ad-supported tier hits 70 million users,https://finance.yahoo.com/news/netflixs-ad-supported-tier-hits-140214897.html,Reuters,1.75,
2024-11-26 15:57:00,Netflix defeats shareholder lawsuit over growth forecasts,https://finance.yahoo.com/news/netflix-defeats-shareholder-lawsuit-over-205711956.html,Reuters,0.81,
2024-12-03 17:32:00,Netflix Japan subscribers top 10 million with shows garnering attention,https://finance.yahoo.com/news/netflix-japan-subscribers-top-10-223218501.html,Reuters,0.49,
2024-12-07 12:52:00,South Koreas Yoon Apologizes Hours Before Impeachment Vote,https://finance.yahoo.com/m/3261e8b7-a733-32b5-9661-128b0acd1e5a/south-korea%E2%80%99s-yoon-apologizes.html,Bloomberg,,
2024-12-07 20:46:00,South Koreas Yoon Survives Impeachment After Martial Law Fiasco,https://finance.yahoo.com/m/7d45d9ef-4174-3e46-a21b-1aef5f9347c9/south-korea%E2%80%99s-yoon-survives.html,Bloomberg,,
2024-12-09 02:10:00,Squid Game Maker Joins Film Industry Call to Oust Korea Leader,https://finance.yahoo.com/m/7509ac4b-712c-394a-b9c5-9c073f98cfb9/%E2%80%98squid-game%E2%80%99-maker-joins-film.html,Bloomberg,-2.25,
2024-12-16 17:52:00,"Trump to meet Netflix co-CEO Ted Sarandos, source says",https://finance.yahoo.com/news/trump-meet-netflix-co-ceo-225210456.html,Reuters,0.24,
2024-12-18 04:33:00,Dutch watchdog fines Netflix for not properly informing customers about data use,https://finance.yahoo.com/news/dutch-watchdog-fines-netflix-not-093357244.html,Reuters,-3.22,1920.0
2024-12-20 08:47:00,Hollywood Is Getting Left Behind in Recovering Film and TV Industry,https://finance.yahoo.com/news/hollywood-getting-left-behind-recovering-134706646.html,Bloomberg,0.78,
2024-12-20 09:52:00,Soccer-Netflix inks US broadcast deal with FIFA for 2027 and 2031 women's World Cups,https://finance.yahoo.com/m/6de5701c-3dc7-3a51-9e7b-e2cc07f35350/soccer-netflix-inks-us.html,Reuters,0.78,
2024-12-20 09:52:00,Soccer-Netflix inks broadcast deal with FIFA for 2027 and 2031 women's World Cups,https://finance.yahoo.com/m/6de5701c-3dc7-3a51-9e7b-e2cc07f35350/soccer-netflix-inks-broadcast.html,Reuters,0.78,
2024-12-23 12:05:00,"Riots $250 Million Arcane TV Series Was a Netflix Hit, Financial Miss",https://finance.yahoo.com/news/riot-250-million-arcane-tv-170515392.html,Bloomberg,0.26,
2024-12-26 21:58:00,Squid Game Stocks Tank in Korea on Netflix New Season Letdown,https://finance.yahoo.com/news/squid-game-stocks-tank-korea-025841365.html,Bloomberg,-0.86,
